location,size,rooms,land_area,description,seller,price
Großröhrsdorf (Großröhrsdorf),180 m²,,1266 m² Grundstück,"wohnen im Villenstil, Zweifamilienhaus nahe Dresden sofort bezugsfähig, viel Platz und Freiraum",Maklerbüro Haufe,244.000 €
"Eulensteg 28, Markkleeberg (Markkleeberg)",140 m²,5 Zi.,252 m² Grundstück,SELTENER GLÜCKSFALL! Vielseitig Talentierte Doppelhaushälfte mit Charme und Atmosphäre in beliebter Eulenbergsiedlung,WIK24 Immobilien,490.000 €
Neukirch/Lausitz,176 m²,7 Zi.,400 m² Grundstück,großteils modern saniertes Einfamilienhaus in Neukirch,Maklerbüro Haufe,159.000 €
Magdeburg (Westerhüsen),156.23 m²,8 Zi.,313 m² Grundstück,Ein wirklich cooles Haus zum Leben!,Andreas Schmidt Immobilien,425.000 €
Königs Wusterhausen (Zernsdorf),130 m²,6 Zi.,820 m² Grundstück,Individuelles Einfamilienhaus in bester Lage von Zernsdorf,Gojowczyk Grundstücksverwaltung/ Immobilien,660.000 €
Bernau (Schönow),88 m²,3 Zi.,1451 m² Grundstück,Tolles Zuhause in begehrter Lage zu verkaufen: Einfamilienhaus mit großem Grundstück in Schönow,BHV Immobilienverwaltung und Management GmbH,420.000 €
Braunsbedra (Braunsbedra),90 m²,,733 m² Grundstück,Familienfreundliches Doppelhaus mit Fernwärmeversorgung und großem Garten nahe des Geiseltalsees!,Dumont Immobilienservice Inh. Karsten Dumont,139.000 €
"Wilhelm-Busch-Straße 66, Dessau-Roßlau (Kochstedt)",128 m²,4 Zi.,622 m² Grundstück,Energetisch hochwertiger Neubau - Bungalow - Baujahr 2023,Immobilien und Finanz-Consulting GmbH,450.000 €
Freital (Freital),123 m²,5 Zi.,508 m² Grundstück,Einfamilienwohnhaus-Haushälfte in bester Wohnlage mit traumhaften Fernblick über die Stadt Freital,Sachverständigenbüro Mario Holland,320.000 €
Joachimsthal,230 m²,7 Zi.,2020 m² Grundstück,Traum am See - gern mit zwei Parteien,Behr-Immobilien,1.200.000 €
Lichtenstein/Sachsen (Lichtenstein),345 m²,14 Zi.,690 m² Grundstück,***Mehrfamilienhaus mit Liebe zum Detail***,Sehr Immobilien,279.000 €
Stralsund (Freienlande),150 m²,6.5 Zi.,569 m² Grundstück,Attraktives Einfamilienhaus in ruhiger Lage,Wohnen in Vorpommern GmbH,385.000 €
Hoppegarten (Birkenstein),140 m²,4 Zi.,550 m² Grundstück,IMMOBERLIN.DE - Sehr gepflegtes Einfamilienhaus mit schönem Südgarten,IMMOBERLIN Inhaber Carsten D. Topel,725.000 €
Kremmen (Kremmen),297 m²,7 Zi.,20977 m² Grundstück,"GROß, HELL &amp; RUHIG: FAMILIENPARADIES IN GRÜNER LAGE!",BBI Berlin-Brandenburg-Immobilien GmbH,895.000 €
Lebus (Mallnow),145 m²,5 Zi.,545 m² Grundstück,IMMOBERLIN.DE - Gepflegtes Einfamilienhaus mit Gartenidylle in ländlicher Ruhelage,IMMOBERLIN Inhaber Carsten D. Topel,349.000 €
Zirzow,117 m²,4 Zi.,2376 m² Grundstück,Gestaltbare DHH auf großem Grundstück,McMakler GmbH,199.000 €
Panketal (Zepernick),85 m²,3 Zi.,750 m² Grundstück,IMMOBERLIN.DE - Behaglicher Bungalow mit Wintergarten in ruhiger Lage,IMMOBERLIN Inhaber Carsten D. Topel,460.500 €
Stahnsdorf (Güterfelde),150 m²,4 Zi.,853 m² Grundstück,IMMOBERLIN.DE - Sehr gepflegter Bungalow mit klarem Ambiente in Seenähe,IMMOBERLIN Inhaber Carsten D. Topel,965.000 €
Oberkrämer (Bötzow),545 m²,25 Zi.,3214 m² Grundstück,"Kapitalanlage vor den Toren Berlins: 2 sanierte Gebäude, 8 vermietete WE auf 3.214 qm Grund!",Immobilien Tiehen oHG,1.000.000 €
Lutherstadt Wittenberg (Seegrehna),109.21 m²,8 Zi.,405 m² Grundstück,Potenzial: Reihenendhaus inkl. Einliegerwohnung in ländlicher Lage von Lutherstadt Wittenberg,McMakler GmbH,109.000 €
"Berliner Str. 22, Rüdersdorf bei Berlin (Hennickendorf)",113 m²,4 Zi.,538 m² Grundstück,Jetzt Grundstück am Stienitzsee sichern und großartiges HELMA Massivhaus bauen!,HELMA Wohnungsbau GmbH,549.900 €
"Berliner Str. 22, Rüdersdorf bei Berlin (Hennickendorf)",111 m²,4 Zi.,538 m² Grundstück,Provisionsfrei - Wunderschönes Haus inklusive Grundstück am Stienitzsee,HELMA Wohnungsbau GmbH,545.110 €
