location,size,rooms,land_area,description,seller,price
"Berliner Str. 22, Rüdersdorf bei Berlin (Hennickendorf)",159 m²,4 Zi.,575 m² Grundstück,Sichern Sie sich jetzt Ihr TRAUM-KOMPLETTPAKET in Wassernähe! Grundstück inklusive Haus,HELMA Wohnungsbau GmbH,697.025 €
Karlshagen,165 m²,4 Zi.,1160 m² Grundstück,IMMOBERLIN.DE - Investmentperle auf Usedom! Exquisites Ferienhaus beim Ostseestrand,IMMOBERLIN Inhaber Carsten D. Topel,1.400.000 €
Blankenfelde-Mahlow (Mahlow),155 m²,5 Zi.,840 m² Grundstück,IMMOBERLIN.DE - Sehr gepflegtes Einfamilienhaus auf herrlichem Grundstück,IMMOBERLIN Inhaber Carsten D. Topel,620.000 €
Kleinmachnow,120 m²,5 Zi.,602 m² Grundstück,IMMOBERLIN.DE - Klassisches Einfamilienhaus in exzellenter Lage,IMMOBERLIN Inhaber Carsten D. Topel,899.000 €
Leipzig (Mockau-Süd),60 m²,3 Zi.,229 m² Grundstück,Versteigerung: Reihenmittelhaus in schöner Wohnlage in Leipzig Mockau Siedlung,IKV FESTER GmbH,90.000 €
Treuenbrietzen (Treuenbrietzen),180 m²,5 Zi.,1033 m² Grundstück,IMMOBERLIN.DE - Modernes Einfamilienhaus zu Ersteinzug in wunderbarer Naturlage direkt am See,IMMOBERLIN Inhaber Carsten D. Topel,690.000 €
Schulzendorf,198 m²,7 Zi.,997 m² Grundstück,"IMMOBERLIN.DE - Modernes Einfamilienhaus mit Westterrassen, Einliegerwohnung und Nebengelass in angenehmer Lage",IMMOBERLIN Inhaber Carsten D. Topel,1.016.500 €
Gröbzig (Gröbzig),92 m²,3 Zi.,1588 m² Grundstück,FÜR HANDWERKLICH BEGABTE! Doppelhaus mit großem Grundstück,SOMMER IMMOBILIEN,70.000 €
Nauen (Nauen),136 m²,,1000 m² Grundstück,Hochmoderne Stadtvilla in ruhiger Lage von Nauen mit Feldblick,Baumgart-Immobilien,499.000 €
Königs Wusterhausen (Zeesen),170 m²,6 Zi.,800 m² Grundstück,Handwerkerobjekt in Zeesener Bestlage,Ackerimmobilien,398.500 €
Finsterwalde (Finsterwalde),140 m²,6 Zi.,172 m² Grundstück,Wohnen im Zentrum der Sängerstadt Finsterwalde,Sparkasse Elbe-Elster in Vertretung der LBS Immobilien GmbH,75.000 €
Leipzig / Wiederitzsch (Wiederitzsch),325 m²,10 Zi.,1037 m² Grundstück,"++Exklusives Niedrig-Energiehaus inkl. Einliegerwohnung, Sauna, Kamin &amp; uvm.++",Bricks &amp; Mortar Immobilien Leipzig GmbH,1.150.000 €
Waren (Müritz) (Waren),30 m²,1 Zi.,509 m² Grundstück,Ferienbungalow mit Finnhütte und ruhigem Feldblick,McMakler GmbH,45.000 €
Schulzendorf,140 m²,5 Zi.,900 m² Grundstück,Süd-West Anwesen mit dem gewissen Etwas,MPW Immobilien Michael Werner GmbH,680.000 €
Neuenhagen bei Berlin,145 m²,4 Zi.,1016 m² Grundstück,"IMMOBERLIN.DE - Modernes Einfamilienhaus mit Einliegerwohnung, Westterrassen und Garage ",IMMOBERLIN Inhaber Carsten D. Topel,795.000 €
Fraureuth (Fraureuth),90 m²,4 Zi.,250 m² Grundstück,Kleines Wohlfühlhäuschen am Rande des Ortes,Sparkasse Zwickau,65.000 €
Teltow (Teltow),263 m²,7 Zi.,1063 m² Grundstück,IMMOBERLIN.DE - Toplage Teltow: Exquisites Einfamilienhaus mit Gartenparadies,IMMOBERLIN Inhaber Carsten D. Topel,1.490.000 €
Falkensee,65 m²,2 Zi.,835 m² Grundstück,IMMOBERLIN.DE - Kleines Haus auf großem Grundstück in vorzüglicher Wohnlage,IMMOBERLIN Inhaber Carsten D. Topel,625.000 €
Wildau,110 m²,5 Zi.,450 m² Grundstück,IMMOBERLIN.DE - Solides Einfamilienhaus mit sehr hellem Ambiente &amp; Potential in familienfreundlicher Lage,IMMOBERLIN Inhaber Carsten D. Topel,379.000 €
Leipzig (Mockau-Nord),82 m²,5 Zi.,1000 m² Grundstück,"Doppelhaushälfte mit großem Garten, EBK, Nebengelass, Brunnen, Stellplätzen &amp; Garage!*TOP-LAGE*",Return on Investment GmbH,326.500 €
Schulzendorf,116 m²,5 Zi.,532 m² Grundstück,Einfamilienhaus auf schönem Grundstück im Ritterschlag - toll für Familien!,Torben Busse Immobilienvertrieb,595.000 €
Falkensee,115 m²,5 Zi.,230 m² Grundstück,IMMOBERLIN.DE - Lichtdurchflutete Doppelhaushälfte mit Südgarten,IMMOBERLIN Inhaber Carsten D. Topel,735.000 €
Coswig,144 m²,4 Zi.,694 m² Grundstück,"EFH, zentrumsnah, Wfl. 144 m², sehr gepflegt, Keller, 2 Garagen +++PROVISIONSFREI+++",ddimmo24 GmbH,470.000 €
Tschernitz (Tschernitz),530 m²,10 Zi.,4712 m² Grundstück,Gutshaus &amp; historische Anlage Lausitzer Seenlandschaft,BAUTEC Beteiligungsges. mbH &amp; Co. Vermiet- und Service KG,97.000 €
Schulzendorf,142 m²,4 Zi.,504 m² Grundstück,BEEINDRUCKENDE DOPPELHAUSHÄLFTE MIT MODERNER AUSSTATTUNG,BBI Berlin-Brandenburg-Immobilien GmbH,399.000 €
Rietschen (Rietschen),329 m²,9 Zi.,16054 m² Grundstück,"Traumhaftes Landleben - facettenreiches Gutshaus, Scheune, Stallung und viel Land!",Citymakler Dresden GmbH &amp; Co.KG,545.000 €
Weißwasser,110 m²,4 Zi.,1058 m² Grundstück,Immobilie mit gehobener Ausstattung in Weißwasser,Sparkasse Oberlausitz-Niederschlesien,285.000 €
Groitzsch (Wischstauden),300 m²,8 Zi.,500 m² Grundstück,"*Wohntraum im Speckgürtel von Leipzig | Swimmingpool, Kamin &amp; nur 30 Minuten nach Leipzig*",Willuhn Immobilien e.K. Inh. Sabine Willuhn,545.000 €
Born a. Darß,102 m²,3 Zi.,571 m² Grundstück,Ferienhaus mit hohem Komfort unter Reet,reiser immobilien,749.000 €
Schönefeld (Großziethen),230 m²,6 Zi.,876 m² Grundstück,Malerisch eingebettet - mit Aussicht über umliegende Felder,MPW Immobilien Michael Werner GmbH,1.290.000 €
Bestensee (Bestensee),220 m²,6 Zi.,1841 m² Grundstück,IMMOBERLIN.DE - Herrliches Ein-/Zweifamilienhaus mit Nebengelass auf tollem Grundstück in traumhafter Naturlage,IMMOBERLIN Inhaber Carsten D. Topel,800.000 €
Görlitz (Ludwigsdorf),230.8 m²,10 Zi.,2093 m² Grundstück,Auf gute Nachbarschaft !,Sparkasse Oberlausitz-Niederschlesien,329.000 €
Crimmitschau (Crimmitschau),95 m²,5 Zi.,150 m² Grundstück,Das wird wieder richtig schön!,Sparkasse Zwickau,67.000 €
Hohen Neuendorf (Hohen Neuendorf),145 m²,4 Zi.,1256 m² Grundstück,IMMOBERLIN.DE - Vorstadtvilla in energieeffizienter Bauweise vor den Toren Berlins,IMMOBERLIN Inhaber Carsten D. Topel,899.000 €
Marlow (Marlow),115 m²,5 Zi.,798 m² Grundstück,Familienfreundliches Einfamilienhaus in ruhiger Lage,Debeka Bausparkasse AG,320.000 €
Grevesmühlen (Grevesmühlen),160 m²,6 Zi.,553 m² Grundstück,Schöner Bungalow in ruhiger Stadtlage,Debeka Bausparkasse AG,399.000 €
Zeesen (Zeesen),84.28 m²,3 Zi.,419 m² Grundstück,Schöner Bungalow in naturnaher Umgebung für die junge Familie oder als Altersruhesitz,MPW Immobilien Michael Werner GmbH,399.000 €
Reichenow-Möglin (Herzhorn),154 m²,7 Zi.,1840 m² Grundstück,Das Landleben ruft nach Ihnen - ein Bauernhaus für Visionäre,MPW Immobilien Michael Werner GmbH,199.000 €
Steinbach (Steinbach),130 m²,5 Zi.,495 m² Grundstück,Idyllisch gelegenes Fachwerkhaus in Steinbach!,HERSIEG GmbH,59.000 €
Grünheide (Mark) (Grünheide),120 m²,4 Zi.,681 m² Grundstück,Landhaus-Idylle in malerischem Ambiente,VON POLL IMMOBILIEN Berlin - Treptow-Köpenick - Immobilienträume Berlin Süd-Ost GmbH,599.000 €
Elsterwerda (Elsterwerda),160 m²,5 Zi.,390 m² Grundstück,Wohnen im Zentrum,Sparkasse Elbe-Elster in Vertretung der LBS Immobilien GmbH,88.000 €
Großschönau (Großschönau),250 m²,9 Zi.,654 m² Grundstück,Platz für die ganze Familie!,Sparkasse Oberlausitz-Niederschlesien,295.000 €
Stralsund (Knieper West),109 m²,4 Zi.,232 m² Grundstück,Charmantes Reihenmittelhaus mit Potenzial für Kapitalanleger,Wohnen in Vorpommern GmbH,249.000 €
Hennigsdorf,121 m²,4 Zi.,670 m² Grundstück,Jetzt 30.000 € Zuschuss u. 210.000 € zinsloses ILB- Förderdarlehen sichern in idyllische Lage in Hennigsdorf !,Gerhard Immobilien,489.000 €
Oschatz (Oschatz),197 m²,9 Zi.,562 m² Grundstück,Einfamilienwohnhaus in bevorzugter Wohnlage von Oschatz,Sachverständigenbüro Mario Holland,164.000 €
Dippoldiswalde OT Schmiedeberg (Dippoldiswalde),116 m²,3 Zi.,293 m² Grundstück,"Großes, gepflegtes Reihenmittelhaus in Schmiedeberg zu verkaufen - ein Schmuckstück!",Wohnungsbörse Erzgebirge Inhaber Manuela Hertel,219.000 €
"Österreicher Straße 59, Dresden (Laubegast)",138 m²,5 Zi.,226 m² Grundstück,Doppelhaushälfte in Laubegast ,schinkel.projects GmbH,578.500 €
"Kloster (Kloster, Hiddensee)",230 m²,9 Zi.,896 m² Grundstück,Luxuriöses Hideaway auf Hiddensee!,EuV Ostsee GmbH,3.400.000 €
Liebenwalde (Liebenwalde),170 m²,5 Zi.,1569 m² Grundstück,"Große Wohnimmobilie mit großzügiges Grundstück, Teilkeller und Scheune",HBI - Bergmann Immobilien,520.000 €
Rothenburg (Uhsmannsdorf),124 m²,4 Zi.,1207 m² Grundstück,Ruhig gelegene Stadtvilla mit Wohlfühlcharakter,Sparkasse Oberlausitz-Niederschlesien,225.000 €
Chorin (Chorin),175 m²,5 Zi.,7911 m² Grundstück,Sehnsuchtsort- ein unbeschreibliches Gefühl von Weite,Behr-Immobilien,640.000 €
Kuhstorf,147 m²,5 Zi.,3845 m² Grundstück,Familienglück mit Renovierungsbedarf auf 3.845 m² großem Grundstück,Immobilien &amp; Sachverständigenbüro Jörg Stephan,230.000 €
Rövershagen (Rövershagen),226 m²,7 Zi.,1439 m² Grundstück,"Wunderschönes Ensemble aus Haupthaus mit Reet + Ferienhaus+Apartment+Carport, 8 Min. zum Strand",Drenkhahn Immobilien GmbH,560.000 €
Ribnitz-Damgarten (Klockenhagen),136 m²,5 Zi.,614 m² Grundstück,Energieeffizientes Einfamilienhaus am Tor zum Fischland/Darss,Wohnen in Vorpommern GmbH,499.000 €
Borgsdorf (Borgsdorf),112.72 m²,4 Zi.,582 m² Grundstück,Verklinkertes Einfamilienhaus mit 3 Schlafzimmer sowie Ess- und Wohnzimmer in Borgsdorf!,HBI - Bergmann Immobilien,500.000 €
Reichenow-Möglin (Herzhorn),154 m²,7 Zi.,2680 m² Grundstück,Unsere kleine Farm - Bauernhaus mit Ausbaupotenzial wartet auf fleißigen Handwerker,MPW Immobilien Michael Werner GmbH,249.000 €
Quenstedt (Quenstedt),120 m²,3 Zi.,517 m² Grundstück,Nettes Einfamilienhaus mit viel Nebengelass in Quenstedt,netterMakler GmbH,195.000 €
"Friedenthaler Weg 3, Oranienburg (Oranienburg)",120 m²,3 Zi.,356.15 m² Grundstück,"Für alle, die in Oranienburg leben möchten! Zum Durchatmen: Ihr Zuhause auf 120 m²!",Deutsche Reihenhaus AG,389.990 €
"Friedenthaler Weg 3, Oranienburg (Oranienburg)",85 m²,3 Zi.,286.36 m² Grundstück,"Für alle, die in Oranienburg leben möchten! Nette Nachbarn inklusive: 85 m² Lebensfreude",Deutsche Reihenhaus AG,294.990 €
"Am Reitplatz 12, Dallgow-Döberitz (Dallgow)",111.43 m²,4 Zi.,198 m² Grundstück,"Großzügiges Reihenhaus ohne Käuferprovision, 6km vor Berlin",THE GROUNDS Real Estate Development AG,527.700 €
Oranienburg (Oranienburg),101.35 m²,5 Zi.,579 m² Grundstück,Einfamilienhaus mit 5 Zimmer in zentraler Lage - Oranienburg,HBI - Bergmann Immobilien,399.999 €
Wermsdorf (Wermsdorf),79 m²,3 Zi.,1780 m² Grundstück,Hälftiger Eigentumsanteil an einem Zweifamilienwohnhausgrundstück,Sachverständigenbüro Mario Holland,67.000 €
Quedlinburg (Gernrode),168 m²,6 Zi.,811 m² Grundstück,Einfamilienhaus mit großem Garten und innenliegendem Sonnenhof,netterMakler GmbH,395.000 €
Königsfeld (Königsfeld),160 m²,5 Zi.,250 m² Grundstück,Wunderschönes Objekt wartet auf Ihre Ideen!,Wohnungsbörse Erzgebirge Inhaber Manuela Hertel,69.500 €
Oranienburg (Sachsenhausen),105 m²,3 Zi.,1310 m² Grundstück,Hier ist IHR können gefragt Top Lage tolle Grundstück kurze Wege,HBI - Bergmann Immobilien,329.000 €
Steinbach (Steinbach),132 m²,6 Zi.,650 m² Grundstück,WOHNEN und ARBEITEN - perfekt für Existenzgründer und Selbstständige!,HERSIEG GmbH,49.500 €
"Heideweg 2A, Vogelsdorf (Vogelsdorf)",105.58 m²,5 Zi.,288 m² Grundstück,Verliebt in Energieeffizienz: Neubau-Doppelhaushälfte im KfW55-Standart mit eigenem Garten,BEST PLACE Immobilien GmbH &amp; Co. KG,495.000 €
Schönhausen (Elbe) (Schönhausen),410 m²,5.5 Zi.,4833 m² Grundstück,Traumhafte Villa mit Smart Home- Technologie und großem Grundstück,EuV Immobilien Magdeburg GmbH,1.500.000 €
"Am Reitplatz 19, Dallgow-Döberitz (Dallgow)",117.88 m²,4 Zi.,339 m² Grundstück,"Familienfreundliches Reihenendhaus mit Untergeschoss &amp; Dachboden, renoviert - ohne Käuferprovision. ",THE GROUNDS Real Estate Development AG,599.200 €
Wanzleben-Börde OT Seehausen (Seehausen),597 m²,9 Zi.,20000 m² Grundstück,"Wunderschöne Villa nahe Magdeburg mit eigenem See, großem Grundstück und Lagerhalle",EuV Immobilien Magdeburg GmbH,2.300.000 €
Anklam (Pelsin),120 m²,4 Zi.,1980 m² Grundstück,"Gepflegtes Einfamilienhaus in Alleinlage! Haus, Hof, Garten und Garagen! ",Pommern Immobilien Reincke Friedrich-Joachim Reincke,175.000 €
Brück (Brück),103.5 m²,3 Zi.,668 m² Grundstück,Einfamilienhaus in Brück zu verkaufen.,Dipl.-Ing. (FH) Dierk Schumacher,274.000 €
"Kirchstraße 28, Spantekow (Rebelow)",160 m²,8 Zi.,5139 m² Grundstück,Sie haben Ideen und Pläne und ich eventuell das passende Objekt für Sie.,Pommern Immobilien Reincke Friedrich-Joachim Reincke,40.000 €
Wermsdorf (Wermsdorf),112 m²,4 Zi.,310 m² Grundstück,Wermsdorf !! hier erwartet Sie kein BAUSTOPP !! sofort beziehbar- sanierte Doppelhaushälfte,LEconsulTS,370.000 €
Sangerhausen (Sangerhausen),95 m²,3 Zi.,253 m² Grundstück,***DOPPELHAUSHÄLFTE IM ZENTRUM VON SANGERHAUSEN***,MAREWO Immobilien,220.000 €
"Baderwiese 9, Grimma (Mutzschen)",98.58 m²,4 Zi.,500 m² Grundstück,kleines Wohnhaus - ausbaufähig,Peter Frenzel Immobilien,68.000 €
Rietz-Neuendorf (Behrensdorf),120 m²,5 Zi.,2489 m² Grundstück,Einfamilienhaus mit Einliegerwohnung in ruhiger Randlage nahe Wendisch Rietz,Oder-Spree Immobilien,250.000 €
Holthusen (Holthusen),107 m²,4 Zi.,307 m² Grundstück,Hier wird Sie selbst der Notar beneiden. Perfekte Doppelhaushälfte für die Familie,J.Göpfert Immobilien,375.000 €
Bad Dürrenberg (Tollwitz),373 m²,12 Zi.,3168 m² Grundstück,***TEILSANIERTE VILLA MIT VIEL PLATZ &amp; POTENTIAL***,MAREWO Immobilien,385.000 €
Wildau,65 m²,3 Zi.,800 m² Grundstück,Kleines gemütliches Einfamilienhaus in bester Lage von Wildau,Gojowczyk Grundstücksverwaltung/ Immobilien,420.000 €
Zeitz (Kayna),140 m²,,560 m² Grundstück,Einfamilienhaus in Kayna,Kiesewetter Immobilien &amp; Handwerk,160.000 €
Greifswald (Groß Schönwalde),105 m²,4 Zi.,122 m² Grundstück,3E Effizient Exzellent Exklusiv,"Golling Immobilien , Inh. Sven Golling",409.000 €
Wandlitz (Klosterfelde),115 m²,5 Zi.,1000 m² Grundstück,Haus mit großem Gartengrundstück,IMRECON Ingo Meye Real Estate Consulting,480.000 €
Dessau-Roßlau (Siedlung),120 m²,3 Zi.,450 m² Grundstück,Wir bauen IHR Wunsch-Haus! Ob Bungalow oder Klassikhaus! Individuell geplant und MASSIV erstellt. Zum Festpreis mit Sicherheitskonzept!,Klee-Haus Baupartner GmbH,auf Anfrage
Dessau-Roßlau (Siedlung),160 m²,4 Zi.,550 m² Grundstück,Wir bauen IHR Wunsch-Haus! Schicke Stadtvilla! Individuell geplant und MASSIV erstellt. Zum Festpreis mit Sicherheitskonzept!,Klee-Haus Baupartner GmbH,auf Anfrage
"Ernst-Thälmann Platz 3b, Neuenkirchen (Neuenkirchen)",139 m²,5 Zi.,630 m² Grundstück,schlüsselfertiges EFH KfW 40 Standard inklusive Grundstück,Privater Anbieter,auf Anfrage
Stralsund (Tribseer Vorstadt),147 m²,6 Zi.,1060 m² Grundstück,+++NEUBAU+++ modern und hochwertig ausgestattetes Einfamilienhauses in exponierter Lage am Moorteich,Bauteam GmbH,599.700 €
Anklam (Anklam),105 m²,4 Zi.,584 m² Grundstück,Familienfreundliches Einfamilienhaus mit Potenzial,DKB Grund GmbH Neubrandenburg,120.000 €
Dierhagen (Dierhagen Dorf),84 m²,2 Zi.,995 m² Grundstück,Einfamilienhaus auf großem Grundstück,reiser immobilien,450.000 €
"Liebknechtstraße 8, 10, Pulsnitz (Pulsnitz)",390 m²,12 Zi.,847 m² Grundstück,*Provisionsfrei* Doppelhaus oder Doppelhaushälfte im Rohbau für Ihren individuellen Familientraum,Gewerblicher Anbieter,595.000 €
Mixdorf,200 m²,7 Zi.,870 m² Grundstück,Vielseitiges Zweifamilienhaus im Schlaubetal mit anschließendem Baugrundstück,Privater Anbieter,550.000 €
"Groten Enn 31, Rostock (Groß Klein)",122 m²,4 Zi.,2157 m² Grundstück,Grundsolides Einfamilienhaus in begehrter Wohnlage Nähe Warnow,Gewerblicher Anbieter,650.000 €
Muldestausee OT Friedersdorf (Friedersdorf),118 m²,5 Zi.,467 m² Grundstück,Die Idylle vor der Haustür - 5 Minuten von der Goitzsche entfernt,Anhalt-Immobilien,195.000 €
Luckau (Cahnsdorf),95.4 m²,4 Zi.,3506 m² Grundstück,Einfamilienhaus mit Potenzial und tollem Grundstück,DKB Grund GmbH Cottbus,249.500 €
Machern (Machern),150.22 m²,5 Zi.,460.22 m² Grundstück,Freistehendes Zuhause in nachgefragter Lage: 5-Zi.-EFH mit Garten in Machern,McMakler GmbH,220.000 €
Plessa (Döllingen),106 m²,4 Zi.,790 m² Grundstück,kleines Schmuckstück mit Kamin in ruhiger Lage,Sparkasse Elbe-Elster in Vertretung der LBS Immobilien GmbH,78.000 €
Kloster Lehnin (Göhlsdorf),90 m²,3.5 Zi.,1107 m² Grundstück,Einfamilienhaus mit erweiterungspotenzial in Kloster Lehnin OT Göhlsdorf,Gewerblicher Anbieter,300.000 €
Halle (Gesundbrunnen),220 m²,9 Zi.,666 m² Grundstück,**30er Jahre Villa mit 2 Einheiten in Zentrumsnähe von Halle | Erker | Balkon | 2 Garagen | Garten**,accept-immobilien GmbH,569.000 €
Lostau,138 m²,4 Zi.,841 m² Grundstück,Heimwerker aufgepasst ++ Unfertiges Einfamilienhaus ++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,365.000 €
Woldegk (Grauenhagen),127 m²,3 Zi.,1735 m² Grundstück,++ Einfamilien-Doppelhaushälfte mit Garten und Garage ++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,92.300 €
Penig (Penig),165 m²,4 Zi.,140 m² Grundstück,+++ Einfamilien-Reihenendhaus - provisionsfrei +++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,63.000 €
Zeitz (Zeitz),150 m²,4 Zi.,631 m² Grundstück,+++ Heimwerker aufgepasst - Einfamilienhaus +++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,20.000 €
Bad Muskau (Bad Muskau),144 m²,6 Zi.,123 m² Grundstück,Solide errichtetes 2-Familienhaus - provisionsfrei,AZ Agentur für Zwangsversteigerungsinformationen GmbH,90.000 €
Zittau (Hirschfelde),126 m²,4 Zi.,320 m² Grundstück,Einfamilienhaus ++ ohne Provision ++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,43.000 €
Lichtena (Schönborn),87 m²,3 Zi.,1361 m² Grundstück,++ Wohnhaus - provisionsfrei ++,AZ Agentur für Zwangsversteigerungsinformationen GmbH,20.200 €
Lausitz (Bohrau),86 m²,3 Zi.,266 m² Grundstück,"++ Einfamilienhaus, ohne Provision ++",AZ Agentur für Zwangsversteigerungsinformationen GmbH,75.000 €
Panketal (Zepernick),165 m²,4 Zi.,931 m² Grundstück,Exklusivität - Freiraum - Entspannung,Gewerblicher Anbieter,648.473 €
Parow (Parow),88 m²,3 Zi.,656 m² Grundstück,Ferienhaus am Wasser in der Nähe von Stralsund,EuV Ostsee GmbH,560.000 €
Schorfheide (Eichhorst),40 m²,2 Zi.,318 m² Grundstück,"Baden, Angeln, Boot fahren u.v.a.m.",Behr-Immobilien,150.000 €
Spremberg (Spremberg),79 m²,4.5 Zi.,500 m² Grundstück,Charmantes Bungalowhaus mit neuer Garage in Kleinstadtlage (provisionsfrei),Privater Anbieter,170.000 €
Altmärkische Wische (Wendemark),90 m²,3 Zi.,3285 m² Grundstück,Einfamilienhaus im Grünen,Privater Anbieter,98.000 €
Lohsa (Groß Särchen),178 m²,6 Zi.,1102 m² Grundstück,Wohnhaus provisionsfrei zu verkaufen,Privater Anbieter,213.000 €
Loburg (Wahl),97 m²,3 Zi.,1378 m² Grundstück,Ruhig und idyllisch wohnen in Isterbies!,Sparkasse MagdeBurg in Vertretung der LBS Immobilien GmbH,175.000 €
Mansfeld (Gorenzen),60 m²,2.5 Zi.,680 m² Grundstück,(autarkes) Wundervolles renoviertes Holzhaus oder Eigenheim im Naturschutzgebiet,Privater Anbieter,90.000 €
Magdeburg (Diesdorf),121 m²,4 Zi.,465 m² Grundstück,Exklusive Neubau Doppelhaushälfte in einzigartiger Lage Barleben Ortsteil Ebendorf,Privater Anbieter,387.000 €
Schulzendorf,120 m²,4 Zi.,725 m² Grundstück,"IMMOBERLIN.DE - Neuwertig! Top-Bungalow in moderner, kosteneffizienter Energiesparbauweise",IMMOBERLIN Inhaber Carsten D. Topel,599.000 €
Birkenwerder,134 m²,4 Zi.,300 m² Grundstück,+EFH 200m² Wohn- &amp; Nutzfläche +ca. 65 m² Dachterrasse  +15 min bis Berlin,Gewerblicher Anbieter,499.000 €
Sundhagen (Stahlbrode),80 m²,2 Zi.,260 m² Grundstück,"Ein Schmuckstück! Provisionsfreies, reetgedecktes EFH mit Garten in Stahlbrode",Privater Anbieter,170.000 €
