location,size,rooms,land_area,description,seller,price
Großröhrsdorf (Großröhrsdorf),180 m²,,1266 m² Grundstück,"wohnen im Villenstil, Zweifamilienhaus nahe Dresden sofort bezugsfähig, viel Platz und Freiraum",Maklerbüro Haufe,244.000 €
"Eulensteg 28, Markkleeberg (Markkleeberg)",140 m²,5 Zi.,252 m² Grundstück,SELTENER GLÜCKSFALL! Vielseitig Talentierte Doppelhaushälfte mit Charme und Atmosphäre in beliebter Eulenbergsiedlung,WIK24 Immobilien,490.000 €
Neukirch/Lausitz,176 m²,7 Zi.,400 m² Grundstück,großteils modern saniertes Einfamilienhaus in Neukirch,Maklerbüro Haufe,159.000 €
"Up Willmannsland 3, Bremen (Lesum)",158.92 m²,6 Zi.,651 m² Grundstück,"Bremen-Lesum - großzü. Einfamilienhaus mit sep. ""Home-Office-Bereich"" - Up Willmannsland - Bereich Knoops Park/Wald - freistehend -vollständ",HWG Bau Immobilien Egon Horsthemke,445.000 €
Hamburg (Neugraben-Fischbek),93 m²,4 Zi.,1162 m² Grundstück,HANDWERKERPERLE IN BEVORZUGTER LAGE MIT ZUSÄTZLICHEM BAUGRUNDSTÜCK,Immowerk42  Eine Marke der Bauwerk42 GmbH,720.000 €
"Urenfleet 1, Hamburg (Neuenfelde)",109 m²,4 Zi.,155 m² Grundstück,Neue KFW-QNG Förderungen sichern - Offene Besichtigung So.16 April von 14 bis 16 Uhr - von modernen Architekten-Stadthäusern in HH-Neuenfelde,Tomczak Bauträger GmbH,414.000 €
Freital (Freital),123 m²,5 Zi.,508 m² Grundstück,Einfamilienwohnhaus-Haushälfte in bester Wohnlage mit traumhaften Fernblick über die Stadt Freital,Sachverständigenbüro Mario Holland,320.000 €
Hamburg (Othmarschen),207 m²,9 Zi.,553 m² Grundstück,Elbvilla mit Garten und Strand,MEISSLER &amp; CO GmbH &amp; Co. KG,2.950.000 €
Hamburg (Rahlstedt),210 m²,9 Zi.,834 m² Grundstück,Eine seltene Gelegenheit - Großzügige Jugendstilvilla in Rahlstedt,­Makler Lambert e.K.,1.040.000 €
Lichtenstein/Sachsen (Lichtenstein),345 m²,14 Zi.,690 m² Grundstück,***Mehrfamilienhaus mit Liebe zum Detail***,Sehr Immobilien,279.000 €
Hamburg (Lohbrügge),108 m²,5 Zi.,878 m² Grundstück,"Wohnen am Rande der Boberger Dünen:  ""Charmanter Bungalow mit großem Garten""",PIPPING Immobilien GmbH,485.000 €
Potsdam (Fahrland),110 m²,5 Zi.,250 m² Grundstück,IMMOBERLIN.DE - Hochwertige unvermietete Doppelhaushälfte mit Südwestgarten in familiärer Lage,IMMOBERLIN Inhaber Carsten D. Topel,539.000 €
Hamburg (Blankenese),197 m²,5.5 Zi.,520 m² Grundstück,Alleinstehend.,Karla Fricke Immobilien KG (GmbH &amp; Co.),2.985.000 €
Hamburg / Othmarschen (Othmarschen),163 m²,5 Zi.,469 m² Grundstück,Energieeffizientes Zuhause in Elbnähe - Großzügiges Neubau-Twin-House mit Stil,DAHLER &amp; COMPANY Elbe GmbH &amp; Co. KG,1.575.000 €
Berlin (Grunewald),156 m²,5 Zi.,360 m² Grundstück,IMMOBERLIN.DE - Grunewald Toplage! Faszinierendes Architekturjuwel mit Südgarten und Designambiente,IMMOBERLIN Inhaber Carsten D. Topel,1.650.000 €
Hamburg (Lemsahl-Mellingstedt),158 m²,4 Zi.,516 m² Grundstück,Einladende Doppelhaushälfte mit viel Grünfläche in HH-Lemsahl-Mellingstedt,BUCHEN &amp; KOOB GmbH,790.000 €
Berlin (Altglienicke),123 m²,4 Zi.,471 m² Grundstück,IMMOBERLIN.DE - Modernes Einfamilienhaus mit Südwestgarten in angenehmer Lage,IMMOBERLIN Inhaber Carsten D. Topel,729.000 €
Berlin (Wittenau),125 m²,6 Zi.,658 m² Grundstück,+++Gut angebundenes Einfamilienhaus mit großer Garage &amp; gepflegtem Garten+++,TAURIBA GmbH,519.000 €
Berlin / Rudow (Rudow),101.35 m²,4 Zi.,344 m² Grundstück,"BÖLITZ IMMOBILIEN GMBH-Ihr wunderschönes,neues 150m² großes Familiendomizil im Rudower Blumenviertel",Bölitz-Immobilien GmbH,590.000 €
Berlin (Wittenau),107 m²,4 Zi.,446 m² Grundstück,**Preisreduzierung** Solide Doppelhaushälfte  ,DieMaklerin.berlin,498.000 €
Berlin (Altglienicke),146 m²,6 Zi.,242 m² Grundstück,IMMOBERLIN.DE - Modernes Reihenendhaus mit Südgarten in familienfreundlicher Lage,IMMOBERLIN Inhaber Carsten D. Topel,600.000 €
