location,size,rooms,land_area,description,seller,price
Weinböhla,102 m²,4 Zi.,495 m² Grundstück,Ihr Haustraum in Weinböhla wird wahr !,KH Massivhaus Dresden GmbH,369.900 €
Weinböhla,116 m²,4 Zi.,495 m² Grundstück,Neues Ausbauhaus: nah am Zentrum aber dennoch ruhig und versteckt in 2. Baureihe!,KH Massivhaus Dresden GmbH,394.900 €
Bremen (Ellenerbrok-Schevemoor),100 m²,5 Zi.,177 m² Grundstück,Reihenmittelhaus in Bremen-Osterholz,ohne-makler.net - Immobilien selbst vermarkten,250.000 €
Hamburg / Billbrook (Billwerder),157.95 m²,6 Zi.,1075 m² Grundstück,"Eine Villa jedoch ist einzigartig, hat eine Geschichte, Flair und dazu ein atemberaubendes Ambiente.",Immobilien-Platz,auf Anfrage
Bremen (Woltmershausen),111 m²,5 Zi.,100 m² Grundstück,Provisionsfreies Altbremer Haus*Renoviert*Im herzen von Woltmershausen,Privater Anbieter,359.000 €
Potsdam (Golm),219.12 m²,7 Zi.,7762.12 m² Grundstück,Einzigartige Rarität: 2 DHH im Paket auf ca. 7.762 m² großen exklusiven Grundstück in Toplage,McMakler GmbH,1.599.900 €
Berlin (Wilmersdorf),550 m²,9 Zi.,1073 m² Grundstück,NEUER KP- Imposante Villa mit einzigartiger Empfangshalle- 1073 qm Grund- Nähe Kudamm!,AIB Allgemeine Immobilien-Börse GmbH,4.200.000 €
Hamburg (Schnelsen),125 m²,4 Zi.,587 m² Grundstück,Vorankündigung: Großzügige Doppelhaushälfte in attraktiver Lage - jetzt die ersten Besichtigungstermine sichern!,IMMO-CONCEPTS,549.000 €
Hamburg (Schnelsen),77 m²,2.5 Zi.,480 m² Grundstück,Vorankündigung: Charmante Doppelhaushälftel - bald im vollständigen Exposé!,IMMO-CONCEPTS,425.000 €
Berlin (Weißensee),114 m²,4 Zi.,45 m² Grundstück,"Weißensee: Berliner Allee: ERSTBEZUG im EIGENEN TOWNHOUSE - 2024: 4-Zi, 3 Etagen, TERRASSE + GARTEN",PROGENEA GmbH &amp; Co. Liegenschaften KG,1.117.200 €
"Weinleithe 15, Wildenfels (Wildenfels)",118 m²,4 Zi.,534 m² Grundstück,Traumhaus in Traumlage - Innenausbau nach Ihren Wünschen,MAXIMUS Immobilien - Dirk Horky,263.000 €
Leipzig (Mölkau),263.3 m²,8 Zi.,670 m² Grundstück,Großzügiges Anwesen mit viel Nutzfläche und traumhaftem Grundstück in nachgefragter und grüner Lage,Butterling Immobilien,445.000 €
Leipzig (Mölkau),263.3 m²,8 Zi.,670 m² Grundstück,Großzügiges Anwesen mit viel Nutzfläche und traumhaftem Grundstück in nachgefragter und grüner Lage,Butterling Immobilien,445.000 €
Bremen (Burg-Grambke),143 m²,5 Zi.,255 m² Grundstück,Zum Selbstgestalten: Geräumiges Reihenhaus mit Garten und Garage in Grambke,Homeday GmbH,269.000 €
Berlin (Marienfelde),144 m²,5 Zi.,420 m² Grundstück,IMMOBERLIN.DE - Noch neuwertiges Einfamilienhaus in Wohlfühllage,IMMOBERLIN Inhaber Carsten D. Topel,1.490.000 €
Berlin (Wannsee),210 m²,6 Zi.,1540 m² Grundstück,IMMOBERLIN.DE - Romantische Landhausvilla mit Südgarten in Spitzenlage,IMMOBERLIN Inhaber Carsten D. Topel,1.580.000 €
Hamburg (Rahlstedt),97 m²,4 Zi.,110 m² Grundstück,%SALE% OSTERANGEBOT Rahlstedter Mittelreihenhaus %SALE% nur noch 385.000 € für Schnellentschlossene,Privater Anbieter,385.000 €
Schönwölkau (Wölkau),250 m²,8 Zi.,3000 m² Grundstück,3 Seitenhof mit Wohnhaus ( bewohnt ) / Stallungen / Scheune / sanierungsbedürftig,Kreißmann Immobilien Inhaberin: Cindy Kreißmann,149.000 €
Probstzella (Oberloquitz),125 m²,4 Zi.,420 m² Grundstück,"Top saniertes, liebevoll gestaltetes  Einfamilienhaus in ruhiger Wohnlage am Ortsrand von Oberloquitz",Kaseo Immobilien Consulting GmbH,240.000 €
"Bamberger Straße 24a, Leipzig (Grünau-Siedlung)",222 m²,,740 m² Grundstück,Zweifamilienhaus in ruhiger Lage nahe dem Kulkwitzer See,Sebastian Höppner,430.000 €
Markranstädt (Seebenisch),113.83 m²,5 Zi.,734 m² Grundstück,"Ruhige Lage, Doppelgarage, Kamin",Willuhn Immobilien e.K. Inh. Sabine Willuhn,350.000 €
Bremen (Lehesterdeich),130 m²,4 Zi.,733 m² Grundstück,Freistehendes Einfamilienhaus auf parkähnlichem Grundstück ohne Makler,ohne-makler.net - Immobilien selbst vermarkten,729.000 €
Hamburg (Eidelstedt),107.5 m²,4 Zi.,463 m² Grundstück,Charmantes Einfamilienhaus Eidelstedt Hamburg,ohne-makler.net - Immobilien selbst vermarkten,739.000 €
Hamburg (Wandsbek),83.54 m²,3 Zi.,226 m² Grundstück,Charmantes Reihenhaus (ca. 121 m² Wohn-/Nutzfläche) im Bungalowstil in 22041 Hamburg-Wandsbek,Hamburg Immobilien Dirk Bluhm,598.000 €
Hamburg (Lemsahl-Mellingstedt),115 m²,5 Zi.,336 m² Grundstück,Traumhaftes Solarhaus - Geschützt vor Strom- und Gaskostenexplosion (Courtagefrei für den Käufer),RE/MAX Hamburg 1A Immobilien GmbH,869.000 €
Radeberg (Großerkmannsdorf),84.09 m²,4 Zi.,1030 m² Grundstück,+++Doppelhaushälfte im Grünen!!!+++,Saxowert Immobilien GmbH &amp; Co. KG,189.990 €
Bad Berka (Bergern),118 m²,4 Zi.,190 m² Grundstück,Im GRÜNEN WOHNEN ... über den Dächern der Stadt Bad Berka | 2 Apartments,Kranich Immobilien,249.000 €
Görlitz (Nikolaivorstadt),285 m²,7.5 Zi.,326 m² Grundstück,EFH mit Wohnkomfort und Garten in Görlitz,Privater Anbieter,720.000 €
Hamburg (Rahlstedt),125 m²,5 Zi.,370 m² Grundstück,Klimafreundliches Haus für Kinder und Wohnmobil,ohne-makler.net - Immobilien selbst vermarkten,637.000 €
Bremen (Kattenturm),100 m²,4 Zi.,329 m² Grundstück,Freistehendes Einfamilienhaus in Kattenturm,GH Conzept GmbH,259.000 €
Hamburg (Niendorf),111 m²,4.5 Zi.,202.2 m² Grundstück,KFW 55 ! Modernes exklusives Reihenmittelhaus in bevorzugter Lage von Hamburg-Niendorf,DOLBERG-Immobilien,775.000 €
Weinböhla,124.45 m²,4 Zi.,903 m² Grundstück,+TRAUMHAUS+  - EXKLUSIVES BUNGALOW MIT ERSTKLASSIGEN AUSSTATTUNGSHIGHLIGHTS!,AL real estate GmbH,669.990 €
Potsdam (Babelsberg Süd),165 m²,7 Zi.,398 m² Grundstück,Seltene Gelegenheit - Stadthaus im Herzen von Babelsberg,Thorn Immobilien,1.250.000 €
Berlin (Wilhelmshagen),166 m²,6 Zi.,1122 m² Grundstück,"Gemütliches EFH mit Garten, EBK, Balkon und Kamin in familienfreundlicher Lage von Berlin",Homeday GmbH,830.000 €
Geithain (Geithain),145 m²,8 Zi.,220 m² Grundstück,Entdecken Sie Ihr neues Zuhause,LBS Ost AG Immobilienpartner der Sparkasse Leipzig in Vertretung von LBS IMMOBILIEN,220.000 €
Berlin (Mahlsdorf),130 m²,5 Zi.,530 m² Grundstück,Top Lage Mahlsdorf Mitte nahe S-Bahnhof,Baumert Immobilien,675.000 €
Markkleeberg (Markkleeberg),145.86 m²,5 Zi.,602 m² Grundstück,"Stadtvilla - jetzt Zins sichern (bis zu 0,9 % Vorteil) - Allkaufhaus",Allkauf Haus GmbH,325.000 €
Eilenburg (Kospa),118.5 m²,7 Zi.,874 m² Grundstück,"Bezugsfertiges EFH mit großem Garten, Süd-Terrasse, EBK, Doppelcarport &amp; Stellplätzen in ruhiger Lage in Kospa/Eilenburg!",Return on Investment GmbH,448.500 €
Hamburg (Wohldorf-Ohlstedt),753 m²,6 Zi.,5400 m² Grundstück,Hamburg - Wohldorf-Ohlstedt| Traumhaftes Villenanwesen,Doerfert Immobilien GmbH,6.250.000 €
Hamburg (Farmsen-Berne),145 m²,4 Zi.,922 m² Grundstück,***RESERVIERT*** Bequemer geht es kaum: Wohnen auf einer Ebene - das ideale Einzelhaus,Fründt Immobilien GmbH,895.000 €
Floh-Seligenthal (Struth-Helmershof),154.93 m²,10 Zi.,478 m² Grundstück,EFH mit Einliegerwohnung Garten in Struth-Helmershof zu Verkaufen!,Gewerblicher Anbieter,149.000 €
Hamburg (Nienstedten),254 m²,5.5 Zi.,704 m² Grundstück,Großzügiges Wohnen in exklusiver Lage an der Elbe,Privater Anbieter,2.896.000 €
Ebersbach-Neugersdorf (Ebersbach),150 m²,6 Zi.,559 m² Grundstück,Ihr neues Zuhause! EFH 6+2 Zimmer top Lage sofort,Privater Anbieter,240.000 €
Naunhof (Naunhof),119.38 m²,4 Zi.,650 m² Grundstück,Modern und familienfreundlich Wohnen in Naunhof ,Susann Mey Immobilien,475.000 €
Hamburg (Rahlstedt),213 m²,7 Zi.,1064 m² Grundstück,Exklusive Jugendstilvilla in Bestlage,Engel &amp; Völkers Alstertal GmbH,1.495.000 €
Hamburg (Lohbrügge),145 m²,5 Zi.,600 m² Grundstück,Familientraum mit Gartenoase in ruhigem Stadtteil Hamburgs,McMakler GmbH,550.000 €
Bremen (Oberneuland),103 m²,3 Zi.,401 m² Grundstück,Schöne Doppelhaushälfte in Bremen,DEGIV GmbH,399.000 €
Lichtentanne (Stenn),178 m²,8 Zi.,850 m² Grundstück,2 für 1 - Ihr neues 2-Familien-Traumhaus mit vielseitigen Möglichkeiten,Privater Anbieter,294.000 €
Bremen (Borgfeld),140 m²,3 Zi.,606 m² Grundstück,Provisionsfrei - Exklusives Einfamilienhaus in ausgezeichneter Lage,Privater Anbieter,630.000 €
Berlin / Wilhelmstadt (Spandau),280 m²,7 Zi.,900 m² Grundstück,GROßZÜGIGE ARCHITEKTEN VILLA MIT WOHLFÜHLAMBIENTE IN NÄHE ZUR HAVELDÜNE,Finest Properties International - Berlin Nord,2.100.000 €
Hohenstein-Ernstthal / Wüstenbrand (Wüstenbrand),120.94 m²,4 Zi.,445 m² Grundstück,Familienfreundliche Doppelhaushälfte in schöner Lage - Schnell bezugsbereit!,Immoteufel,229.000 €
Hamburg (Allermöhe),113 m²,4.5 Zi.,153 m² Grundstück,Sonniges Familiendomizil in beliebter Lage,Grossmann &amp; Berger GmbH,529.000 €
Hamburg (Allermöhe),150 m²,4 Zi.,1000 m² Grundstück,Altbau-Traum in rotem Klinkergewand mit großem Garten!,BB Estates GmbH,725.000 €
Weißwasser,140 m²,7 Zi.,1370 m² Grundstück,"Attraktives, großes Einfamilienhaus in Weißwasser zu verkaufen",GRUPS Immobilien GmbH,345.000 €
Lunzenau (Göritzhain),190 m²,6 Zi.,1267 m² Grundstück,+++Wohnparadies in ruhiger Lage - großer Garten - Sonnenterrasse und Pool in Lunzenau/Göritzhain+++,viveto IMMOBILIEN eine Marke der E.I.S. GmbH,169.000 €
Hamburg (Billstedt),179 m²,8 Zi.,856 m² Grundstück,"Offene Besichtigung am Sonntag, den 16.4. von 12:00-14:00 Uhr:  Zwei Häuser auf einem Grundstück",Bremer Immobilien,599.000 €
Hamburg / Kirchwerder (Kirchwerder),118 m²,5 Zi.,737 m² Grundstück,Zwischen Natur&amp;Stadt - Modernes Einfamilienhaus inmitten der Vierlanden,ImmoNetzwerk GmbH,599.000 €
Berlin (Spandau),180 m²,6.5 Zi.,700 m² Grundstück,"-Gepfl. Einfamilienhaus mit Terrasse, Sauna und Garage -",Muzi-Berlin Immobilien &amp; Finanzdienst e. K.-seit 1992,850.000 €
Löbau (Kittlitz),84 m²,3 Zi.,176 m² Grundstück,"Kleines, gepflegtes Einfamilienhaus in Löbau zu verkaufen",Reinecke Immobilien,85.000 €
Rhönblick (Bettenhausen),131 m²,4 Zi.,646 m² Grundstück,"EFH mit modernem Zeitgeist, Sonnen-Garten-Terrasse Solar und Kamin...",IBV Hans Mayer GmbH,249.000 €
Hamburg / Lemsahl-Mellingstedt (Wohldorf-Ohlstedt),320 m²,6 Zi.,3500 m² Grundstück,Energieeffizientes &amp; exklusives Wohnen am Alsterlauf,HIR Hamburg International Realty GmbH,2.500.000 €
Reeßum (Niederdorla),257 m²,7 Zi.,1000 m² Grundstück,Reeßum / Zweifamilienhaus mit Doppelgarage in ruhiger Wohnlage,HBI-Immobilienvertriebs GmbH,435.000 €
Crimmitschau (Crimmitschau),70 m²,3 Zi.,280 m² Grundstück,Eher klein - so sollte es sein!,Sparkasse Zwickau,42.000 €
Hamburg (Eidelstedt),115 m²,5 Zi.,240 m² Grundstück,Neubauvorhaben - Mittelreihenhaus mit zwei Vollgeschoßen inkl. Grundstück,HIM Hanseatischer Immobilienmakler GmbH,559.000 €
Hamburg (Eidelstedt),109 m²,5 Zi.,360 m² Grundstück,Neubauvorhaben - Endreihenhaus mit zwei Vollgeschoßen inkl. Grundstück,HIM Hanseatischer Immobilienmakler GmbH,599.000 €
Jonaswalde (Jonaswalde),105 m²,4 Zi.,1000 m² Grundstück,Ich hab's in eigener Hand - ich zieh auf's Land!,Sparkasse Zwickau,110.000 €
Werdau (Langenhessen),142 m²,6 Zi.,440 m² Grundstück,"Ein gutes Gefühl, zu Hause zu sein!",Sparkasse Zwickau,195.000 €
Hildburghausen (Hildburghausen),120 m²,3 Zi.,153 m² Grundstück,Sparen Sie sich den Neubau! Schickes Reihenhaus in Hildburghausen.,Die IMMOmakler Dehler - Bähr GmbH,197.500 €
Hamburg (Jenfeld),163 m²,4.5 Zi.,644 m² Grundstück,Familientraum auf sonnigem West - Grundstück!,Engel &amp; Völkers Alstertal GmbH,695.000 €
Leipzig (Lindenthal),147 m²,5 Zi.,800 m² Grundstück,Individuell geplantes Einfamilienhaus mit Wärmepumpe,Objekt Plus GmbH &amp; Co. KG,752.360 €
Leipzig (Lindenthal),122 m²,4 Zi.,400 m² Grundstück,Familienfreundliches Doppelhaus in gewachsener Siedlungslage,Objekt Plus GmbH &amp; Co. KG,515.860 €
Leipzig (Wahren),122 m²,4 Zi.,600 m² Grundstück,Familienfreundliches Doppelhaus in gewachsener Siedlungslage,Objekt Plus GmbH &amp; Co. KG,500.860 €
Taucha (Pönitz),224.5 m²,5 Zi.,700 m² Grundstück,Frei geplantes Architektenhaus mit Wärmepumpe,Objekt Plus GmbH &amp; Co. KG,874.200 €
Taucha (Pönitz),158 m²,5 Zi.,500 m² Grundstück,Frei geplantes Architektenhaus mit Wärmepumpe,Objekt Plus GmbH &amp; Co. KG,618.300 €
Taucha (Pönitz),147 m²,5 Zi.,500 m² Grundstück,Individuell geplantes Einfamilienhaus mit Wärmepumpe,Objekt Plus GmbH &amp; Co. KG,589.700 €
Leipzig (Plagwitz),130 m²,5 Zi.,200 m² Grundstück,Townhouse in Plagwitz mit großzügiger Dachterrasse,Objekt Plus GmbH &amp; Co. KG,598.345 €
Leipzig (Burghausen-Rückmarsdorf),135 m²,5 Zi.,600 m² Grundstück,Frei geplantes Einfamilienhaus in Burghausen-Rückmarsdorf,Objekt Plus GmbH &amp; Co. KG,562.827 €
Leipzig (Burghausen-Rückmarsdorf),160 m²,5 Zi.,600 m² Grundstück,Moderner Klassiker mit Wärmepumpe in Burghausen-Rückmarsdorf,Objekt Plus GmbH &amp; Co. KG,619.327 €
Leipzig (Burghausen-Rückmarsdorf),158 m²,5 Zi.,600 m² Grundstück,Frei geplantes Architektenhaus mit Wärmepumpe,Objekt Plus GmbH &amp; Co. KG,613.727 €
Hamburg / Niendorf (Niendorf),154.96 m²,5.5 Zi.,969.57 m² Grundstück,"NEUBAU: Großzügige 5,5 Zi.- Doppelhaushälfte mit charmanter Dachterrasse",Leipe &amp; Gronninger Immobilien GmbH &amp; Co. KG,1.049.000 €
Hamburg / Niendorf (Niendorf),151.98 m²,5.5 Zi.,969.57 m² Grundstück,Niendorf ohne Fluglärm: Ruhige Doppelhaushälfte mit überzeugendem Grundriss und großem Garten,Leipe &amp; Gronninger Immobilien GmbH &amp; Co. KG,1.179.000 €
Hamburg / Niendorf (Niendorf),148.21 m²,5.5 Zi.,969.57 m² Grundstück,DOPPELTES LOTTCHEN:  moderne Doppelhaushälfte mit genügend Platz für die ganze Familie!,Leipe &amp; Gronninger Immobilien GmbH &amp; Co. KG,1.049.000 €
Bremen (Neuenland),110.6 m²,4 Zi.,121 m² Grundstück,Bremen-Neuenland: Schönes Reihenmittelhaus für die Familie mit Balkon und Garten,Sparkasse Immobilien Bremen GmbH,295.000 €
Bremen (Ellenerbrok-Schevemoor),100.59 m²,5 Zi.,151 m² Grundstück,Bremen - Ellenerbrok-Schevemoor: Sehr gepflegtes Reihenhaus mit ausgebautem Dachgeschoss und Garage,Sparkasse Immobilien Bremen GmbH,268.000 €
Bremen (Peterswerder),178 m²,8 Zi.,178 m² Grundstück,"Bremen-Peterswerder, realisieren Sie Ihren Traum vom eigenen 2-Familienhaus mit kleiner Garage",Sparkasse Immobilien Bremen GmbH,620.000 €
Gößnitz (Gößnitz),120 m²,5 Zi.,331 m² Grundstück,Einfamilienhaus als Geldanlage,VR-Bank Altenburgerland,65.000 €
"Bornaer Str. 8, Chemnitz (Borna-Heinersdorf)",135 m²,5 Zi.,648 m² Grundstück,"+++Familienidylle schaffen: tolles Einfamilienhaus mit Wintergarten, Garten und Garage+++",Realis Chemnitz Immobilien GmbH,315.000 €
Hamburg (Bergstedt),180 m²,7.5 Zi.,735 m² Grundstück,Familienparadies - Wohnen am Alsterwanderweg,Engel &amp; Völkers Alstertal GmbH,790.000 €
Unstruttal (Reiser),93.22 m²,4 Zi.,468 m² Grundstück,Charmante Doppelhaushälfte mit großem Garten in Reiser!,KOCH IMMOBILIEN www.Traum.Immobilien,169.900 €
Unterwellenborn (Unterwellenborn),114 m²,5 Zi.,496 m² Grundstück,Doppelhaus in grüner Wohnlage,RD-Immokonzept GmbH,199.000 €
Bröhsen (Bröhsen),101 m²,4 Zi.,843 m² Grundstück,Raus aus der Stadt: großes Grundstück - Nebengebäude - Garage,Sattler Immobilien GmbH,169.000 €
Bernsbach / Oberpfannenstiel (Oberpfannenstiel),69.77 m²,3 Zi.,920 m² Grundstück,Ein neues Zuhause für Ihre kleine Familie,DKB Grund GmbH Chemnitz,155.000 €
Hamburg-Marienthal (Marienthal),120 m²,5 Zi.,602 m² Grundstück,Charmantes Siedlerhaus in zentraler Lage,Sparda Immobilien GmbH,648.000 €
Bremen (Hemelingen),125 m²,5 Zi.,257 m² Grundstück,Zeitlos schöne Doppelhaushälfte in ruhiger Sackgasse!,Bremische Volksbank Immobilien GmbH &amp; Co.KG,359.000 €
Berlin / Biesdorf Nord Getreideviertel (Biesdorf),81 m²,4 Zi.,509 m² Grundstück,"Berlin-Biesdorf: Gemütliches Zuhause mit Potenzial: Doppelhaushälfte mit Garage, Garten &amp; Vollkeller",Bachmann Immobilien GmbH,359.000 €
Bremen (Grohn),111.98 m²,4.5 Zi.,386 m² Grundstück,"Ein Anblick zum verlieben, hier können Sie Ihre Wohnwünsche frei entfalten.",Niemeyer Immobilien,169.000 €
Buttelstedt (Buttelstedt),126 m²,4 Zi.,500 m² Grundstück,Hier findet jeder seinen Lieblingsplatz,Bien Zenker Vertriebspartner Birgit Neumann,371.853 €
Gerstungen (Marksuhl),99 m²,3 Zi.,600 m² Grundstück,Die Freunde Ihrer Kinder wohnen in der Nachbarschaft,Bien Zenker Vertriebspartner Birgit Neumann,340.919 €
Schkölen (Schkölen),154 m²,4 Zi.,800 m² Grundstück,Gönnen Sie sich ein Stück Freiheit,Bien Zenker Vertriebspartner Birgit Neumann,300.030 €
Weißenborn,152 m²,4 Zi.,800 m² Grundstück,Leben - Lieben - Lachen und natürlich auch genießen,Bien Zenker Vertriebspartner Birgit Neumann,313.663 €
Wutha-Farnroda (Kahlenberg),126 m²,4 Zi.,1600 m² Grundstück,Hier findet jeder seinen Lieblingsplatz,Bien Zenker Vertriebspartner Birgit Neumann,334.353 €
Eisfeld (Eisfeld),122 m²,4 Zi.,918 m² Grundstück,Wohnen Sie doch wie Sie wollen,Bien Zenker Vertriebspartner Birgit Neumann,256.792 €
Nordhausen (Nordhausen),134 m²,4 Zi.,1225 m² Grundstück,Genießen Sie Ihre Freizeit im Grünen,Bien Zenker Vertriebspartner Birgit Neumann,273.064 €
Leinefelde (Beuren),126 m²,4 Zi.,1130 m² Grundstück,Familienidylle mit großem Sonnengarten,Bien Zenker Vertriebspartner Birgit Neumann,280.985 €
Jesewitz (Eilenburg),76 m²,3 Zi.,497 m² Grundstück,Das ist ein überzeugendes Angebot,Kern-Haus Leipzig GmbH,305.630 €
Leipzig (Holzhausen),148 m²,6 Zi.,750 m² Grundstück,Dieses Haus ist kreativ - Wohlfühlen oder Abschalten,Kern-Haus Leipzig GmbH,677.900 €
Leipzig (Mockau-Nord),97 m²,3 Zi.,420 m² Grundstück,Wohnen in Mockau - Bauen Sie mit,Kern-Haus Leipzig GmbH,387.900 €
Schönfeld (Schönfeld),155.73 m²,7 Zi.,600.23 m² Grundstück,Vermietetes Zweifamilienhaus mit Garten als Kapitalanlage oder für den Eigenbedarf,McMakler GmbH,109.000 €
Thallwitz (Nischwitz),112 m²,5 Zi.,630 m² Grundstück,Gemütliches Eigenheim bei Wurzen: Idyllisch gelegenes EFH mit großem Garten und neuwertiger Heizung,McMakler GmbH,260.000 €
Hamburg (Niendorf),187.03 m²,5 Zi.,592 m² Grundstück,"Toplage: Exklusives 5-Zimmer-Einfamilienhaus mit Wintergarten, Garten und gehobenen Extras",McMakler GmbH,1.000.000 €
Bremen (Ohlenhof),130 m²,7 Zi.,105 m² Grundstück,Charmantes Reihenmittelhaus mit vielen Vorzügen in Gröpelingen,BERGER 1A IMMOBILIEN GmbH &amp; Co. KG,219.000 €
Bremen (Aumund-Hammersbeck),143 m²,6 Zi.,760 m² Grundstück,Raumwunder mit großem Grundstück in ruhiger Lage von Bremen-Aumund,Niemeyer Immobilien,249.000 €
Colditz (Colditz),90 m²,3 Zi.,258 m² Grundstück,*Colditz - ruhig gelegene DH-Hälfte*,Stefan Weisz-Immobilien,110.000 €
Großpostwitz/Oberlausitz (Großpostwitz),171 m²,7 Zi.,290 m² Grundstück,Schicke Doppelhaushälfte mit 2 Wohneinheiten und großer Garage!,Volksbank Löbau-Zittau eG,250.000 €
Bremen (Grohn),119 m²,4 Zi.,728 m² Grundstück,Wohnen am Knoops Park nahe der Lesum,Niemeyer Immobilien,389.000 €
Lichtenstein (Rödlitz),102 m²,4 Zi.,1048 m² Grundstück,Ihr ganz persönlicher Raum für das wahre Glück!,KHC Bauträger GmbH,377.100 €
Wilkau-Haßlau (Silberstraße),136 m²,4 Zi.,2130 m² Grundstück,Eigentum und Vermögen statt Miete!,KHC Bauträger GmbH,495.900 €
Hamburg (Hummelsbüttel),97 m²,3 Zi.,326 m² Grundstück,Alles auf einer Ebene!,Grossmann &amp; Berger GmbH,525.000 €
Berlin (Mahlsdorf),110 m²,5 Zi.,204.18 m² Grundstück,Townhouse im Erstbezug - nur 8 Fußminuten vom S-Bahnhof,MPW Immobilien Michael Werner GmbH,658.000 €
Berlin (Mahlsdorf),110 m²,5 Zi.,247.08 m² Grundstück,Die Zukunft im Blick - Topmodern und alles nagelneu!,MPW Immobilien Michael Werner GmbH,638.000 €
Berlin (Rudow),124 m²,5 Zi.,450 m² Grundstück,Modernisiertes Einfamilienhaus in Rudow,Allgemeiner Grund &amp; Boden Fundus,749.000 €
Berlin (Mahlsdorf),112 m²,5 Zi.,184.58 m² Grundstück,Zur goldenen Mitte - Einziehen und fertig!,MPW Immobilien Michael Werner GmbH,598.000 €
Berlin (Mahlsdorf),110 m²,5 Zi.,233.58 m² Grundstück,Traumhaus auf dem neusten Stand der Technik - sorgenfrei in die Zukunft,MPW Immobilien Michael Werner GmbH,638.000 €
Berlin (Mahlsdorf),110 m²,5 Zi.,266.58 m² Grundstück,Kein Baustress! Einziehen und Wohlfühlen!,MPW Immobilien Michael Werner GmbH,618.000 €
Berlin (Karow),165 m²,7 Zi.,716 m² Grundstück,Bezugsfrei! Wunderschönes Einfamilienhaus mit Einliegerwohnung in Berlin Pankow OT Karow,PlanetHome Group GmbH,749.000 €
Chemnitz (Adelsberg),136 m²,4 Zi.,1020 m² Grundstück,Viel Raum für Kreativität!,KHC Bauträger GmbH,342.900 €
Berlin (Dahlem),375 m²,9 Zi.,1126 m² Grundstück,Zweifamilienhaus auf ca. 1.100 m² Grundstück zwischen Finkenpark und Domäne Dahlem:,locals Real Estate GmbH,4.100.000 €
Nordhausen (Nordhausen),219 m²,8 Zi.,334 m² Grundstück,"Neubau - zukunftsorientiert, CO2-neutral, ressourcenschonend, energieeffizient und wertbeständig!",Triga Immobilien Manuela Hardt e.K.,592.000 €
Stadtroda (Stadtroda),170 m²,7 Zi.,565 m² Grundstück,Hochwertiges Einfamilienhaus mit Weitblick und Pool,Debeka Bausparkasse AG,705.000 €
Markranstädt (Räpitz),104 m²,3 Zi.,740 m² Grundstück,Hier geht die Bau-Finanzierung noch auf! Schicke 3-Raum-Wohnung mit Dach!!!,LIPSIA-Fachberatungsbüro,325.250 €
Hamburg (Wohldorf-Ohlstedt),196 m²,5 Zi.,3200 m² Grundstück,Wohlfühloase für die ganze Familie in Top Lage,Uwe Tesch - Handelsvertretung der Bien - Zenker GmbH,2.548.780 €
Hamburg (Jenfeld),168 m²,6.5 Zi.,786 m² Grundstück,Perfektes RAUMWUNDER: Familienfreundliches EFH mit Einliegerwohnung auf ruhigem Eckgrundstück,BeSmart Immobilien e.K.,849.000 €
Nossen (Perba),120 m²,4 Zi.,682 m² Grundstück,Zwischen Nossen und Lommatzsch - Gepflegtes EFH mit viel Platz für Hobbies und Pool,PlanetHome Group GmbH,228.000 €
Markranstädt (Altranstädt),115 m²,4 Zi.,690 m² Grundstück,Ein Bungalow ist für jedes Alter gerecht - hier wahlweise mit 4 Zimmern !!!,LIPSIA-Fachberatungsbüro,388.900 €
Kitzscher (Kitzscher),122 m²,5 Zi.,730 m² Grundstück,Darfs vielleicht ein Zimmer mehr sein? Hier sind es immerhin FÜNF!!!,LIPSIA-Fachberatungsbüro,356.980 €
Chemnitz / Adelsberg (Adelsberg),145 m²,6 Zi.,470 m² Grundstück,Einfamilienhaus . Adelsberg . 6-7 Zimmer . Terrasse . Garten . Stellplatz . bezugsfertig,immosmile GmbH,415.000 €
Potsdam (Bornim),225 m²,6 Zi.,515 m² Grundstück,UBC: Einfamilienhaus-Neubautraum in sehr gefragter Lage,Unify Berlin Collection GmbH Best of Real Estate Investments,1.355.000 €
Gebesee,150 m²,5 Zi.,534 m² Grundstück,"Raus aus der Mietwohnung, rein ins schöne Einfamilienhaus!",3x1 Immobilien GmbH,380.000 €
Berlin (Buckow),115 m²,4 Zi.,280 m² Grundstück,Provisionsfrei für den Erwerber - Reihenendhaus in lukrativer Lage von Berlin Buckow,KENSINGTON Finest Properties International · Berlin Südost,525.000 €
Berlin (Spandau),168 m²,6 Zi.,842 m² Grundstück,Leben ganz nah am Spekte-Grünzug!,Postbank Immobilien GmbH,630.000 €
Trebsen/Mulde (Trebsen),127.72 m²,,300 m² Grundstück,Familienfreundliches Wohnen bei Trebsen!,SZENARIO Beratungsgesellschaft,179.500 €
Hamburg (Lemsahl-Mellingstedt),193 m²,5 Zi.,1166 m² Grundstück,Ruhige Traumlage in Lemsahl/Poppenbüttel - moderne Villa im Bauhaus-Stil - inkl. Bauneben- u. HA-Kosten_planen Sie mit www.PRO-HAUS.de,PRO-HAUS GmbH,1.220.000 €
