location,size,rooms,land_area,description,seller,price
Baar-Ebenhausen (Baar),118.2 m²,5 Zi.,176.44 m² Grundstück,Neubau Doppelhaushälfte in traumhafter Lage,LOFT21 Immobilien,699.900 €
Würzburg (Lengfeld),135 m²,5 Zi.,351 m² Grundstück,Bezugsfertiges teilsaniertes Haus mit Garten und Garage in zentraler Lage,Engel &amp; Völkers,560.000 €
Landshut (Schönbrunn),277 m²,8 Zi.,2026 m² Grundstück,Das ideale Familienparadies wartet auf Sie! Besonderes Einfamilienhaus in idyllischer Parkanlage!,VON POLL IMMOBILIEN Landshut - Christian Kartmann,1.268.000 €
München (Allach-Untermenzing),133 m²,4 Zi.,509.5 m² Grundstück,OSTER-AKTION ! PREISNACHLASS ! Für die kleine Familie - Glücklich im Eigenheim! DHH in Ortsrandlage,Gräser Immobilien und Finanzmanagement,1.430.000 €
Pullach im Isartal (Großhesselohe),466 m²,12 Zi.,1679 m² Grundstück,KENSINGTON - Exklusiv - Elegantes Anwesen - eine Symbiose aus Alt und Neu,KENSINGTON Finest Properties München GmbH,13.050.000 €
Weilheim in Oberbayern (Deutenhausen),130.32 m²,4 Zi.,300 m² Grundstück,Gefällige Doppelhaushälfte in Weilheim-Deutenhausen,IFK Immobilien GmbH &amp; Co. KG,780.000 €
Baar-Ebenhausen (Baar),118.2 m²,5 Zi.,159.85 m² Grundstück,Neubau Doppelhaushälfte in traumhafter Lage,LOFT21 Immobilien,689.500 €
Bad Füssing (Würding),145 m²,6 Zi.,270 m² Grundstück,"Anlagemöglichkeit, Selbstnutzung oder beides kombinieren: Sehr gepflegtes MFH mit 3 Einheiten",Rottaler Raiffeisenbank eG,365.000 €
Hof (Innenstadt),181.86 m²,6 Zi.,1100 m² Grundstück,Großes Einfamilienwohnhaus in traumhafter Lage in Krötenbruck,Allkauf Haus GmbH,321.239 €
Spiegelau (Hochreuth),159.11 m²,7 Zi.,309.11 m² Grundstück,PREISREDUKTION! Wohnen auf ca. 159 m²: Gepflegtes EFH in Spiegelau für Ihr Familienglück,McMakler GmbH,149.900 €
Schaufling,170 m²,6 Zi.,1076 m² Grundstück,Sanierungsbedürftiges Zweifamilienhaus mit Garten in naturnaher Lage,McMakler GmbH,279.000 €
Lehrberg (Lehrberg),100 m²,5 Zi.,115 m² Grundstück,4-Zimmer-Eigentumswohnung - besondere Immobilie im Herzen von Lehrberg,PlanetHome Group GmbH,170.000 €
Monheim (Monheim),176 m²,8 Zi.,862 m² Grundstück,Traumhaft schönes Einfamilienhaus in Monheim!,Löw Immobilien GmbH,749.000 €
Sankt Wolfgang (St. Wolfgang),157.73 m²,6 Zi.,429 m² Grundstück,"Ideal für Selbständige, Handwerker, Bastler... - Große Doppelgarage mit Werkstatt und Büro",Markus Maier GmbH &amp; Co. KG,599.000 €
Viechtach (Viechtach),234 m²,6 Zi.,882 m² Grundstück,Kfw-40 Einfamilienhaus - Neubau - Ausbauhaus,Immobilien Nothaft,450.000 €
Mömlingen,115 m²,6 Zi.,531 m² Grundstück,Einfamilienhaus im charmanten Ortskern von Mömlingen,Sparkasse Miltenberg-Obernburg i.V. der Sparkassen-Immobilien-Vermittlungs GmbH,200.000 €
Solnhofen (Solnhofen),315 m²,8 Zi.,1080 m² Grundstück,Gepflegtes Einfamilienhaus in Solnhofen,Raiffeisenbank Weißenburg-Gunzenhausen eG,390.000 €
Ingolstadt (Oberhaunstadt),140 m²,5 Zi.,416 m² Grundstück,Exclusive DHH mit Einliegerwohnung sucht neuen Familienanschluß,ICE - Immobilien &amp; Finanzierungen,759.500 €
Oberasbach (Unterasbach),123 m²,5 Zi.,240 m² Grundstück,Energieeffizienz: Neubau-DHH in Oberasbach,Engel &amp; Völkers Fürth • Erlangen • Forchheim,695.000 €
Oberasbach (Unterasbach),123 m²,5 Zi.,244 m² Grundstück,Energieeffizienz: Neubau-DHH in Oberasbach,Engel &amp; Völkers Fürth • Erlangen • Forchheim,695.000 €
Marktredwitz (Marktredwitz),260 m²,6 Zi.,554 m² Grundstück,Freistehendes Wohnhaus mit großer Garage!,Immobilienvermittlung Busch,319.000 €
Sulzbach-Rosenberg (Sulzbach-Rosenberg),209.42 m²,11 Zi.,948 m² Grundstück,gepflegtes Dreifamilienwohnaus in zentrumsnaher Lage von Sulzbach-Rosenberg,Hoffmann &amp; Regler Immobilien GbR,370.000 €
Wörth am Main,140 m²,6 Zi.,241 m² Grundstück,"Keine Käuferprovision! Kaufen Sie ab € 699,- mtl.* / EFH &amp; Garagen.-Scheunenanbau",RE/MAX FV Immocenter Untermain GmbH,274.900 €
Igensdorf (Oberlindelbach),102 m²,4 Zi.,89 m² Grundstück,Einfamilienhaus  Erwerb ausschließlich im Bieterverfahren,Kaufmann-Forum-Immobilien GmbH,100.000 €
Rottach-Egern (Kalkofen),120 m²,6 Zi.,600 m² Grundstück,Unverbaubarer Wallbergblick inklusive!,At Home Immobilien GmbH,2.550.000 €
Kreuth (Pförn),158 m²,6 Zi.,543 m² Grundstück,A+ Landhaus,At Home Immobilien GmbH,auf Anfrage
Sulzbach-Rosenberg (Sulzbach-Rosenberg),148.09 m²,6 Zi.,752 m² Grundstück,stilvoller Bungalow mit Wohnkomfort am Rosenbach,Hoffmann &amp; Regler Immobilien GbR,350.000 €
Siegsdorf (Hammer),170 m²,5 Zi.,800 m² Grundstück,Natur pur - Wohnen am Ortsrand von Hammer,Kreissparkasse Traunstein-Trostberg i.V. der Sparkassen-Immobilien-Vermittlungs- GmbH,795.000 €
Wilburgstetten (Wilburgstetten),160 m²,6 Zi.,1361 m² Grundstück,Einziehen und wohlfühlen,Sparkasse Ansbach in Vertretung der Sparkassen-Immobilien-Vermittlungs-GmbH,345.000 €
Kreuth (Oberhof),128 m²,5 Zi.,1018 m² Grundstück,"EFH mit Potenzial, auf großem Grundstück",At Home Immobilien GmbH,auf Anfrage
Rottach-Egern (Oberach),287 m²,6 Zi.,930 m² Grundstück,Wohntraum in ruhiger Lage von Rottach-Egern,At Home Immobilien GmbH,5.370.000 €
Vilsbiburg (Vilsbiburg),278 m²,7.5 Zi.,834 m² Grundstück,Traumhaus in versteckter Wohnlage,Immo Zentrum der VR Bank Isar-Vils GmbH,798.000 €
Fürth (Innenstadt),400 m²,14 Zi.,156 m² Grundstück,Kapitalanlage mit Potential: Mehrfamilienhaus in der Fürther  Innenstadt,VON POLL IMMOBILIEN Fürth - Jürgen Maringer,1.200.000 €
"am Klosterholz 18, Erlangen (Steudach)",141 m²,5 Zi.,194 m² Grundstück,geförderte Familienhäuser Erlangen Steudach Info Sonntag 14 - 16 Uhr,SCHULTHEISS Wohnbau AG­,661.517 €
"am Klosterholz 18, Erlangen (Steudach)",111 m²,5 Zi.,119 m² Grundstück,geförderte Familienhäuser Erlangen Steudach Info Sonntag 14 - 16 Uhr,SCHULTHEISS Wohnbau AG­,522.624 €
"am Klosterholz 18, Erlangen (Steudach)",121 m²,5 Zi.,167 m² Grundstück,geförderte Familienhäuser Erlangen Steudach Info Sonntag 14 -16 Uhr,SCHULTHEISS Wohnbau AG­,566.520 €
"Weichselstraße 15, Töging a.Inn (Töging)",120 m²,5 Zi.,268 m² Grundstück,"***Töging a. Inn: Sonniges RMH mit schöner Ausstattung, PV-Anlage, Garage und Garten***",IMMOHOME GmbH,459.000 €
Üchtelhausen (Hesselbach),130 m²,5 Zi.,810 m² Grundstück,Einfamilienhaus mit Option zum Zweifamilienhaus in Üchtelhausen/Hesselbach,Sparkasse Schweinfurt Haßberge,375.000 €
Freising (Freising),226 m²,9 Zi.,900 m² Grundstück,Das gibt´s nur einmal!  Niveauvolles Dreifamilienhaus mit wunderschönem Grundstück in Bestlage,Stanglmaier Immobilien GmbH,1.690.000 €
Ingolstadt (Ingolstadt),230 m²,8 Zi.,116 m² Grundstück,Wohn- und Geschäftshaus in der Innenstadt,Immobilien Zieglmeier,820.000 €
Pürgen (Pürgen),119.34 m²,4.5 Zi.,630 m² Grundstück,Isartaler Holzhaus - Einfamilienhaus mit Holzgarage in ruhiger Ortsrandlage,Lech-Finanz,750.000 €
Paunzhausen (Angerhöfe),570 m²,11 Zi.,3850 m² Grundstück,Idyllisch gelegenes Anwesen in 85307 Paunzhausen - zwischen Allershausen und Pfaffenhofen,Linha Immobilien,auf Anfrage
Deggendorf (Deggendorf),175 m²,5 Zi.,300 m² Grundstück,SOFORT VERFÜGBAR! GROSSZÜGIGES KERNSANIERTES REIHENMITTELHAUS WARTET AUF SIE IN RUHIGER LAGE IN DEG,Wüstenrot Immobilien Straubing,559.000 €
Lachen (Hetzlinshofen),272 m²,6 Zi.,811 m² Grundstück,ALLGÄU: Exklusives Wohnhaus mit Einliegerwohnung und Bergblick,PlanetHome Group GmbH,1.230.000 €
94469 Deggendorf (Deggenau),190 m²,6 Zi.,350 m² Grundstück,Zentrumsnahe Einfamilienhäuser mit Einliegerwohnung in der Deggenau,ohne-makler.net - Immobilien selbst vermarkten,820.000 €
Winden / Aign (Au a. Aign),147 m²,5 Zi.,698 m² Grundstück,"Haus Stadt-Villa in Winden mit Grundstück 700 m² , provisionsfrei",Immobilienagentur Buchenau,687.500 €
Erding (Pretzen),142 m²,6 Zi.,164 m² Grundstück,Helles Reihenhaus mit viel Platz - stadtnah und doch mitten im Grünen,Brandhuber Immobilien GmbH,789.000 €
Ottenhofen (Ottenhofen),145 m²,5 Zi.,334 m² Grundstück,Doppelhaushälfte in ruhiger Lage,Brandhuber Immobilien GmbH,899.000 €
Kösching (Kösching),217.16 m²,7 Zi.,660 m² Grundstück,"Modernes Wohnen, das keine Wünsche offen lässt: Einfamilienhaus an der Bebauungsgrenze in Kösching",Immobilien Zieglmeier,1.850.000 €
Straubing (Ittling),184 m²,8 Zi.,726 m² Grundstück,KAPITALANLAGE 2-Fam.-Haus in Straubing - Ittling,Haban Immobilien,318.000 €
Gundelfingen an der Donau (Gundelfingen),186 m²,8 Zi.,700 m² Grundstück,"Für zwei Generationen! Ruhig gelegenes, großzügiges Zweifamilienhaus  in Gundelfingen!",Bricks &amp; Mortar Immobilien Augsburg GmbH,469.000 €
Rohr (Regelsbach),248 m²,8 Zi.,642 m² Grundstück,Großzügige Liegenschaft mit Seltenheitswert,VON POLL IMMOBILIEN Schwabach - Ionela Harosa,929.000 €
Langenaltheim (Langenaltheim),167 m²,5 Zi.,772 m² Grundstück,Schönes Einfamilienhaus in ruhiger Wohnlage von Langenaltheim,YES Immobilien,448.000 €
Dombühl (Dombühl),123 m²,5 Zi.,580 m² Grundstück,Einfamilienhaus in familienfreundlicher Siedlungslage,Beier Immobilien,399.000 €
Geisenhausen (Geisenhausen),178 m²,7 Zi.,692 m² Grundstück,EFH - gehobene Ausstattung -  Provisionsfrei - gewerbliche Nutzfläche bzw. Wohnraum im Keller,Immobilien ASTORIA - Ziegler GmbH,959.000 €
Goldbach (Goldbach),91 m²,4 Zi.,544 m² Grundstück,"ROMANTISCHES HÄUSCHEN IM BUNGALOWSTIL MIT GARAGE, KELLER UND GROßEM GARTEN!",AB-Immobilien Staab GmbH - Immobilien- und Sachverständigenbüro,460.000 €
Unterhaching,100.77 m²,5 Zi.,259 m² Grundstück,Gepflegte Doppelhaushälfte in Unterhaching,PlanetHome Group GmbH,880.000 €
Waldershof / Poppenreuth (Waldershof),100 m²,4 Zi.,16600 m² Grundstück,Gutshof,IAD Immobilien Agentur Deutschland GmbH,489.000 €
Fürth (Weststadt),160 m²,5 Zi.,577 m² Grundstück,DHH- Ein Zuhause zu verkaufen,Privater Anbieter,750.000 €
Nürnberg / Neukatzwang (Reichelsdorf),135 m²,5.5 Zi.,185 m² Grundstück,Neubauhäuser im hübschen Stadtteil vor Nürnberg I In Katzwang entstehen insgesamt 6 Reihenhäuser,Werner Wohnbau GmbH &amp;Co.KG,549.900 €
Nürnberg / Neukatzwang (Reichelsdorf),135 m²,5.5 Zi.,301 m² Grundstück,Neubauhäuser im hübschen Stadtteil vor Nürnberg I In Katzwang entstehen insgesamt 6 Reihenhäuser,Werner Wohnbau GmbH &amp;Co.KG,684.900 €
Waging am See (Tettenhausen),245 m²,9 Zi.,646 m² Grundstück,Großzügiges Wohnhaus mit Einliegerwohnung in Seenähe,Immobilien Stollwerk,769.000 €
Schönhaid (Schönhaid),280 m²,14 Zi.,2016 m² Grundstück,Zweifamilienhaus auf sehr großem Grundstück mit Anbau sucht Handwerker,City Immobilien GmbH,199.000 €
Weißenhorn (Weißenhorn),115 m²,,212 m² Grundstück,"kinderfreundl.Wohngegend, top gepflegtes, saniertes Reihenmittelhaus, schöner Garten in Weißenhorn",immomoos,439.000 €
Bach an der Donau (Demling),171 m²,6 Zi.,700 m² Grundstück,***Perfektes Einfamilienhaus mit tollem Grundstück***,ORANGE Immobilienagentur,730.000 €
Langensendelbach (Langensendelbach),135 m²,5.5 Zi.,330 m² Grundstück,Zukunftsweisend Eigentum kaufen I Im idyllischen Langensendelbach entstehen insgesamt 9 Neubauhäuser,Werner Wohnbau GmbH &amp;Co.KG,589.900 €
Langensendelbach (Langensendelbach),134 m²,5.5 Zi.,313 m² Grundstück,Zukunftsweisend Eigentum kaufen I Im idyllischen Langensendelbach entstehen insgesamt 9 Neubauhäuser,Werner Wohnbau GmbH &amp;Co.KG,569.900 €
Frammersbach (Frammersbach),160 m²,6 Zi.,640 m² Grundstück,++EFH mit ca. 160 m² Wohnfläche in Frammersbach sucht Handwerker++,ProMak Immobilien Vermittlungs GmbH,215.000 €
Burghaslach (Burghaslach),210 m²,6 Zi.,709 m² Grundstück,Natur &amp; Office in Traumlage,SpardaImmobilienWelt GmbH,789.000 €
Neusäß (Neusäß),100.24 m²,5 Zi.,125.08 m² Grundstück,PREISREDUKTION! Bezugsfrei: Gestaltbares 5-Zimmer-Haus mit schönem Garten in zentraler Lage,McMakler GmbH,395.000 €
Ehlscheid (Münchberg),107 m²,3.5 Zi.,540 m² Grundstück,Material-all inclusive und 18 monatige Preisgarantie!,Living Haus,466.339 €
"Bayernstraße 56, Burgthann / Ezelsdorf (Ezelsdorf)",150 m²,5.5 Zi.,308 m² Grundstück,Energieeffizientes Wohnen in idyllischer Lage I In Burgthann-Ezelsdorf entstehen 6 Wohneinheiten,Werner Wohnbau GmbH &amp;Co.KG,499.900 €
Schwanstetten (Schwand),231.22 m²,7 Zi.,858.22 m² Grundstück,"Traumhafte Immobilie mit großem Sonnengarten, Loggia und hochwertiger Einrichtung",McMakler GmbH,695.000 €
"Von-Scheurl-Straße 7, Lauf an der Pegnitz (Heuchling)",200 m²,5 Zi.,475 m² Grundstück,Rarität: DHH mit 200 m² Wohnfläche in bester Lage von Lauf K 444,Gewerblicher Anbieter,auf Anfrage
Cadolzburg (Cadolzburg),135 m²,5 Zi.,872 m² Grundstück,Ideal für Selbstbezug und Kapitalanleger,Sparkasse Fürth,499.000 €
"Weizenfeld 24, Augsburg (Bärenkeller)",184 m²,5 Zi.,551 m² Grundstück,"Idyllisch gelegene Doppelhaushälfte,großem Garten in ruhiger Lage",Privater Anbieter,515.000 €
Kulmbach (Kulmbach),196 m²,7.5 Zi.,950 m² Grundstück,"Stadtnah, aber trotzdem ruhig und im Grünen: Mehrparteienhaus zur vielseitigen Nutzung",ohne-makler.net - Immobilien selbst vermarkten,505.000 €
Maxhütte-Haidhof (Roßbergeröd),140 m²,4 Zi.,470 m² Grundstück,Gepflegtes Einfamilienhaus mit Terrasse und Garten in Maxhütte-Haidhof,Privater Anbieter,519.000 €
Hallerndorf (Trailsdorf),155 m²,6 Zi.,700 m² Grundstück,*** Nur einziehen - renoviert wurde für Sie bereits *** Massiver Bungalow mit Einliegerbereich im Keller,VR Bank Immobilien GmbH Bamberg-Forchheim,585.000 €
Prosselsheim (Prosselsheim),120 m²,5 Zi.,345 m² Grundstück,Großzügige Doppelhaushälfte in ruhiger Lage zwischen Volkach und Würzburg,Jürgen Hart Immobilien,349.000 €
München (Untergiesing-Harlaching),120 m²,4 Zi.,373 m² Grundstück,Einmalige Gelegenheit Doppelhaushälfte in Top Lage Harlaching/ Untergiesing,Nikolaus Gschlößl Immobilien GmbH,890.000 €
"Reischach , Kr Altötting (Reischach)",106 m²,5 Zi.,1069 m² Grundstück,Für Gartenliebhaber! GEPFLEGTES ÄLTERES WOHNHAUS mit FERNSICHT in REISCHACH,Anna Biebl Immobilien,355.000 €
Saaldorf-Surheim (Saaldorf),282 m²,7 Zi.,1068 m² Grundstück,Einziehen &amp; Wohlfühlen: Luxuriös. Flexibel. Stadtnah.,Lobensommer Immobilien GmbH,1.460.000 €
"Ortsstraße 25, Pyrbaum (Rengersricht)",190 m²,10 Zi.,990 m² Grundstück,"Tolles Anwesen - großes Haus, großer Garten, Scheune viel Lebensraum!! - DG ausgebaut",Günter Huber Beratung und Coaching Immobilienvermarktung,575.000 €
München (Aubing-Lochhausen-Langwied),140 m²,5.5 Zi.,448 m² Grundstück,Ein perfektes neues zu Hause mit viel Liebe - familiengerechtes EFH mit 2 getrennten Wohneinheiten!,SIS-Sparkassen-Immobilien-Service GmbH,1.415.000 €
Schwarzenbach a.Wald (Straßdorf),115 m²,,331 m² Grundstück,"Einfamilienhaus in 95131 Schwarzenbach a.Wald, Geroldsgrüner Str.",Argetra GmbH,80.000 €
Hof (Innenstadt),238 m²,,1272 m² Grundstück,"Einfamilienhaus in 95032 Hof, Konradsreuther Str.",Argetra GmbH,415.000 €
Rudelzhausen (Hebrontshausen),121 m²,,352 m² Grundstück,"Doppelhaushälfte in 84104 Rudelzhausen, Jakobusstr.",Argetra GmbH,375.000 €
Mitterfels (Mitterfels),160 m²,,512 m² Grundstück,"Zweifamilienhaus in 94360 Mitterfels, Straubinger Str.",Argetra GmbH,132.000 €
Marktredwitz (Wölsauerhammer),170 m²,,344 m² Grundstück,"Einfamilienhaus in 95615 Marktredwitz, Wölsauerhammer",Argetra GmbH,149.000 €
München (Ramersdorf-Perlach),162 m²,7 Zi.,389 m² Grundstück,"Großes DHH mit Einliegerwohnung unterm Dach, eingewachsener Garten, sehr ruhige Lage",Postbank Immobilien GmbH,1.490.000 €
Burghausen (Burghausen),113 m²,5 Zi.,308 m² Grundstück,Sofort beziehbare Doppelhaushälfte mitten in der Stadt mit Garten,Garant Immobilien München GmbH,449.500 €
Nersingen (Straß),115 m²,5 Zi.,366 m² Grundstück,Wunderschönes Reiheneckhaus,GARANT Immobilien AG,465.000 €
Ichenhausen (Ichenhausen),234 m²,8 Zi.,1795 m² Grundstück,** Besonderes Zweifamilienhaus mit außergewöhnlich viel Potential! **,GARANT Immobilien AG,680.000 €
Sigmarszell (Bösenreutin),250 m²,6 Zi.,478 m² Grundstück,ZWEI in EINEM: EIGENHEIM &amp; MIETEINNAHMEN: *DOPPELHAUSHÄLFTE in XXL-FORMAT auf  478 m2 Grundstück!*,Maria Anna Stoppel Immobilien,975.000 €
Neuötting (Neuötting),246 m²,6 Zi.,515 m² Grundstück,*** VORANKÜNDIGUNG *** ENERGIEEFFIZIENTES EINFAMILIENHAUS IN BESTER SIEDLUNGSLAGE,ENGEL &amp; VÖLKERS  Altbayern • Burghausen • Mühldorf • Passau • Pfarrkirchen ••• EuV Immobilien.GmbH,799.000 €
Gilching (Neugilching),239 m²,7 Zi.,400 m² Grundstück,"OSTERBESICHTIGUNG 16.04.23 - 140.000,-- Euro SPAREN! komplett schlüsselfertig!",Gräser Immobilien und Finanzmanagement,1.750.000 €
Landsberg am Lech (Landsberg),110 m²,4 Zi.,364 m² Grundstück,Ein sonniges Eck-Haus mit viel Charme in bester Lage,Wüstenrot Immobilien,730.000 €
Erding (Erding),171 m²,5 Zi.,465 m² Grundstück,"Architekten-DHH, hochwertige Ausstattung, ruhige Lage, zentrumsnah",Postbank Immobilien GmbH,1.400.000 €
Kempten (Allgäu) (Eich),185 m²,6.5 Zi.,860 m² Grundstück,Doppelhaushälfte auf 3 Etage,Privater Anbieter,790.000 €
Bad Windsheim (Bad Windsheim),308 m²,16 Zi.,1253 m² Grundstück,Attraktives Mehrfamilienhaus mit Potenzial für 6 Wohneinheiten im Herzen von Bad Windsheim,VON POLL IMMOBILIEN Kitzingen - Domo Mea Immobilien UG (haftungsbeschränkt),549.000 €
Ingolstadt / Etting (Etting),335.83 m²,9 Zi.,695 m² Grundstück,Wunderschöne Architektenvilla mit Zugspitzblick und 2-Zimmer-Einliegerwohnung,Immobilien Zieglmeier,1.790.000 €
Rennertshofen (Rennertshofen),167.54 m²,6 Zi.,1367 m² Grundstück,"Gemütliches Einfamilienhaus mit viel Platz, Garten und einer Garage! - Ein Objekt von Ihrem Immobilienpartner SOWA Immobilien und Finanzen",SOWA Immobilien &amp; Finanzen Sonja Walter,647.000 €
Treuchtlingen (Treuchtlingen),269.09 m²,12 Zi.,680 m² Grundstück,Aufgepasst! Mehrfamilienhaus mit 3 Wohneinheiten in Treuchtlingen - Ein Objekt von Ihrem Immobilienpartner SOWA Immobilien und Finanzen,SOWA Immobilien &amp; Finanzen Sonja Walter,669.000 €
Weyarn (Weyarn),210 m²,6 Zi.,2360 m² Grundstück,*** Neuwertiges A+ Effizienzhaus mit Einliegerwohnung in exklusiver Lage ***,Weitl-Immobilien GmbH,1.998.000 €
Burglengenfeld (Burglengenfeld),97 m²,2 Zi.,485 m² Grundstück,Hier wartet Ihr Traumhaus auf Sie - in Burglengenfeld,Immobilienbüro Schöberl,498.000 €
"Hauptstraße 17, Wörth (Hofdorf)",86 m²,3 Zi.,482 m² Grundstück,Teil- Sanierte Doppelhaushälfte - alles außer gewöhnlich,LBS Bayerische Landesbausparkasse,224.000 €
Erkheim (Schlegelsberg),134 m²,,624 m² Grundstück,"Einfamilienhaus in 87746 Erkheim, Krautgartenstr.",Argetra GmbH,502.000 €
Selbitz (Selbitz),112 m²,,523 m² Grundstück,"Einfamilienhaus in 95152 Selbitz, Schlesier Str.",Argetra GmbH,45.000 €
Freising (Lerchenfeld),154.79 m²,6 Zi.,227 m² Grundstück,Handwerker aufgepasst! Einfamilienhaus mit viel Potential zum Verwirklichen eigener Ideen,Homeday GmbH,550.000 €
"Drudhardstraße 14, München (Feldmoching-Hasenbergl)",380 m²,12 Zi.,1779 m² Grundstück,Provisionsfrei - 1.779 m² Grundstück mit DHH &amp; EFH in München Feldmoching,Ampere GmbH,3.950.000 €
Aschau im Chiemgau (Schlechtenberg),107 m²,4 Zi.,1080 m² Grundstück,Grundstücksrarität mit Altbestand aus 1927,Jörg Kaller Lizenzpartner der Engel &amp; Völkers Residential GmbH,933.500 €
Mickhausen (Mickhausen),115 m²,5 Zi.,528 m² Grundstück,Gemütliches Holzhaus - idyllisch gelegen in den westlichen Wäldern - Mickhausen,PlanetHome Group GmbH,449.000 €
Bischofswiesen (Winkl),170.51 m²,6 Zi.,489 m² Grundstück,"Haus in Alleinlage, nahe dem Nationalpark Berchtesgaden",Robert Graf Pachta Immobilien,860.000 €
Wolfertschwenden (Wolfertschwenden),128 m²,4 Zi.,425 m² Grundstück,Doppelhaus in Wolfertschwenden,Laure Immobilien und Finanzvermittlungs GmbH,580.000 €
Freising (Neustift),147 m²,5 Zi.,436 m² Grundstück,Schmuckstück sucht Familie !,Sparkasse Freising Moosburg,780.000 €
Zirndorf (Zirndorf),136.09 m²,5 Zi.,344 m² Grundstück,** DAS FamilienGLÜCK ** perfekt gepflegt ** Dachterrasse &amp; Garten ** 5 Zi. ** opt. Stellplätze  **,Die Maklerei ImmobilienKultur,694.650 €
Krailling (Krailling),140 m²,4 Zi.,826 m² Grundstück,Behindertengerechtes Haus auf traumhaften Grundstück,ECI-TEAM Immobilien Eva Cartwright e.K.,2.350.000 €
Zirndorf (Wintersdorf),138 m²,6 Zi.,431 m² Grundstück,Vermietetes Reihenmittelhaus mit Terrasse und Garten in ruhiger Lage von Zirndorf - Wintersdorf !!!,Postbank Immobilien GmbH,369.000 €
Regensburg (Burgweinting-Harting),188.5 m²,5 Zi.,613 m² Grundstück,Viel Platz für die Familie in Regensburg/Burgweinting,PlanetHome Group GmbH,749.000 €
Nürnberg (Schniegling),127.53 m²,1 Zi.,433 m² Grundstück,Außergewöhnliche DHH im Nürnberger Norden mit großem Garten,ImmoNürnberg Immobilienvertrieb GmbH,615.000 €
Grainau (Grainau),170 m²,6 Zi.,449 m² Grundstück,"Ansprechendes Landhaus mit 3 Einheiten, 3 Garagen und Garten",VON POLL IMMOBILIEN Garmisch-Partenkirchen - Lohmiller Immobilien GbR,980.000 €
München (Ramersdorf-Perlach),160 m²,,355 m² Grundstück,"Energieeffiziente Neubau-DHH, Südausrichtung in Bestlage von MUC ",LUXHAUS Vertrieb GmbH &amp; Co. KG,1.980.000 €
Breitenbrunn (Breitenbrunn),85 m²,3 Zi.,503 m² Grundstück,Kuscheliger Bungalow mitten im Grünen,Die Spitzenmakler,197.000 €
Windach (Windach),300 m²,9 Zi.,868 m² Grundstück,ALLES AUßER GEWÖHNLICH: LIEBEVOLL SANIERTES BAUERNHAUS MIT EINLIEGERTRAKT IN WINDACH,Veltrup Immobilien GmbH,1.275.000 €
Kirchheim (Kirchheim),100 m²,6 Zi.,608 m² Grundstück,Gepflegtes älteres Haus mit Charme und Garten sucht neue Familie!,Stark Immobilien,269.000 €
Halsbach (Eneck),256 m²,5 Zi.,2500 m² Grundstück,2-Fam.-Haus in Traumlage bei Burgkirchen,Haban Immobilien,1.300.000 €
Schnaittenbach (Schnaittenbach),220 m²,9 Zi.,825 m² Grundstück,Mehr Raum für Ihre Ansprüche!,VR Bank Amberg-Sulzbach eG  VR-ImmoService,355.000 €
Ilmmünster (Ilmmünster),180 m²,6 Zi.,453 m² Grundstück,Geräumige DHH mit gr. Sommergarten - Fertigstellungsarbeiten nach Modernisierung erforderlich!,IIM Ilmgau Immobilien Möller GmbH,620.000 €
Donauwörth (Donauwörth),280 m²,9 Zi.,3520 m² Grundstück,ZUHAUSE ANKOMMEN: PRIVILEGIERTE VILLENLAGE ÜBER DER STADT,ZUHAUSE ANKOMMEN,auf Anfrage
München (Allach-Untermenzing),163.91 m²,4 Zi.,343.05 m² Grundstück,"Erbbaurecht: Renovierungsbedürftiges RMH mit Wintergarten, Terrasse und Garten in ruhiger Lage",McMakler GmbH,790.000 €
Jettingen-Scheppach (Jettingen),140 m²,5 Zi.,512 m² Grundstück,Provisionsfrei - EFH mit Wohnkomfort und Garten in Jettingen-Scheppach,Gewerblicher Anbieter,666.000 €
Arnbruck (Arnbruck),230 m²,5 Zi.,575 m² Grundstück,Zweifamilienhaus in Arnbruck / Zellertal,Ebner Haus und Grund Wohnbau GmbH,248.000 €
Germünden - Wernfeld (Wernfeld),150 m²,4 Zi.,1179 m² Grundstück,Sie möchten selbst renovieren ? Handwerker gesucht !  EFH mit zusätzlichem Baurecht,ohne-makler.net - Immobilien selbst vermarkten,299.000 €
München (Hadern),110 m²,4.5 Zi.,331 m² Grundstück,Gelegenheit für eine Familie mit etwas handwerklichem Geschick,Postbank Immobilien,997.000 €
Röthenbach an der Pegnitz (Röthenbach),145 m²,5 Zi.,272 m² Grundstück,*** Familienidylle am Waldrand (REH Bj. 2019) ***,Privater Anbieter,635.000 €
"Beim Alten Wasserwerk 15, Beilngries (Beilngries)",124 m²,,260 m² Grundstück,*** Neubau*** Doppelhaus in ruhiger Lage,Gewerblicher Anbieter,910.000 €
Karlstein am Main (Dettingen),138 m²,7 Zi.,991 m² Grundstück,Großzügiges 2-FH in Karlstein am Main,Privater Anbieter,auf Anfrage
Kelheim (Kelheim),132 m²,5 Zi.,748 m² Grundstück,Vermietetes Einfamilienhaus mit großem Garten in Affecking,McMakler GmbH,299.000 €
Nandlstadt (Nandlstadt),359 m²,7 Zi.,827 m² Grundstück,Stilvolle Unternehmervilla in Nandlstadt,Immobilien Zippold GmbH,890.000 €
