location,size,rooms,land_area,description,seller,price
Obermichelbach (Rothenberg),355 m²,9 Zi.,982 m² Grundstück,Außergewöhnliches Einfamilien- oder Mehrgenerationenhaus in 90587 Obermichelbach - OT Rothenberg,Wunschel Immobilien GmbH,805.000 €
Altenstadt b Schongau (Altenstadt),182 m²,6 Zi.,1206 m² Grundstück,"**Ruhig gelegen mit toller Aussicht**     Sehr großes Einfamilienhaus in             Top Lage in Altenstadt * wunderschöner, großer Garten",Immobilien Staltmeier,auf Anfrage
"Reichelsdorfer Schulgasse 6, Nürnberg (Reichelsdorf)",474.59 m²,,663 m² Grundstück,Exklusives Wohnhaus/Mehrfamilienhaus in TOP Lage,Die Denkmalschutz Immobilie,1.600.000 €
Eibelstadt,380 m²,10 Zi.,726 m² Grundstück,"Exklusives Wohnhaus mit Fernblick, große Einliegerwohnung, drei Garagen, sonnige, ruhige Hanglage - Eibelstadt ",Christine Sturm Immobilien,auf Anfrage
Würzburg (Versbach),300 m²,10 Zi.,370 m² Grundstück,Großzügiges 1-Familien-Haus auf pflegeleichtem Grundstück,­Steinmetz Immobilien,950.000 €
Herzogenaurach (Herzogenaurach),131 m²,5.5 Zi.,247 m² Grundstück,Sofort einziehen!  Modernes und saniertes Reihenmittelhaus  in Herzogenaurach,Stielke Immobilien | Ihr qualifizierter Makler,499.000 €
Fürth (Südstadt),967 m²,,335 m² Grundstück,Wohn- und Geschäftshaus in begehrter Lage von Fürth ,El.immobilien,1.940.000 €
Untersiemau (Untersiemau),210 m²,,597 m² Grundstück,Mehrgenerationenhaus - Zweifamilienwohnhaus mit zwei Garagen in Untersiemau,Wüstenrot Immobilien,360.000 €
Sulzbach (Sulzbach),255 m²,8 Zi.,778 m² Grundstück,Herrliche Lage + viel Platz für Miteinander = Wohlfühlhaus,ELK-IMMOBILIEN GmbH,595.000 €
Gremsdorf (Buch),130 m²,4.5 Zi.,417 m² Grundstück,WIE NEU: TOP SANIERTE DHH EINZIEHEN UND LOSWOHNEN!,Peter Reuter Immobilien Service,529.000 €
Amorbach (Amorbach),118 m²,4.5 Zi.,80 m² Grundstück,Modernes Innenleben verpackt in Altstadthaus - Wohlfühlen im Zentrum,ELK-IMMOBILIEN GmbH,199.000 €
Roßbach (Roßbach),100 m²,4 Zi.,690 m² Grundstück,Achtung neuer Kaufpreis !!!!!! Neuwertiger Bungalow in ruhiger Siedlungslage  zu verkaufen,Immobilien Reinl,375.000 €
Dürrwangen (Dürrwangen),67 m²,3 Zi.,309 m² Grundstück,"Kleines, gemütliches Haus in Dürrwangen",Luks &amp; Sohn Immobilien,135.000 €
Ingolstadt (Ringsee),337 m²,9 Zi.,717 m² Grundstück,"Mehrgenerationenhaus, Platz für drei Familien",Immobilien Ludwig Beyer,1.275.000 €
Ingolstadt (Friedrichshofen),165.3 m²,5 Zi.,325 m² Grundstück,Großes Reiheneckhaus mit Wintergarten und Garten,Immobilien Ludwig Beyer,650.000 €
Ingolstadt (Ingolstadt),91.3 m²,4 Zi.,275 m² Grundstück,Reiheneckhaus mit Garten und Garage,Immobilien Ludwig Beyer,455.000 €
Essenbach (Essenbach),156 m²,6 Zi.,669 m² Grundstück,KfW 70 Einfamilienhaus in Essenbach,Holzner Immobilien GmbH,650.000 €
Obermichelbach (Obermichelbach),377 m²,11 Zi.,1034 m² Grundstück,"Exklusives Wohnen: Großes EFH mit ELW, Doppelgarage, Traumgarten, Platz für Wohnmobil in Obermichelbach",Immobilien Brink,auf Anfrage
Burgkunstadt (Burgkunstadt),264 m²,8 Zi.,1700 m² Grundstück,Villa mit Fernblick,Immobilien Reichardt e.K.,385.000 €
"Blumenstr. 6, Neuhof a.d.Zenn (Neuhof)",134.17 m²,4 Zi.,653 m² Grundstück,"Freistehendes Einfamilienhaus mit großem sonnigen Garten, Solaranlage für Brauchwasser, großem Keller und 2 Carport Stellplätze",Andreas Ulrich Immobilien,529.000 €
Landshut (Auloh),144 m²,,269 m² Grundstück,Traumhafte Doppelhaushälfte in Auloh,Holzner Immobilien GmbH,799.000 €
Neukirchen bei Sulzbach-Rosenberg (Neukirchen),280 m²,7 Zi.,1300 m² Grundstück,Exklusives Wohnhaus in der Metropolregion Nürnberg,A.F.I.Service GmbH,995.000 €
Schillingsfürst (Schillingsfürst),120 m²,,86 m² Grundstück,Herrichten - Einziehen - Wohlfühlen! Wohnhaus mit viel Platz für die große Familie,Wüstenrot Immobilien GmbH,95.000 €
Bobingen (Bobingen),119 m²,5 Zi.,373 m² Grundstück,"Schöner Wohnen in Bobingen, ruhige Doppelhaushälfte zu verkaufen",Pflugmacher &amp; Partner,595.000 €
"Außenkager 2, Stubenberg (Stubenberg)",150 m²,6 Zi.,1422 m² Grundstück,Das Hexenhaus im Wald - absolute Alleinlage,Privater Anbieter,397.000 €
Wendelstein (Wendelstein),125 m²,5 Zi.,258 m² Grundstück,Provisionsfrei!! Modernes Reihenmittelhaus mit schönem Grundstück!,Privater Anbieter,550.000 €
Vaterstetten (Baldham),143 m²,5 Zi.,185 m² Grundstück,Provisionsfrei - geräumiges RMH auf schönem Grundstück und vielen Möglichkeiten,Privater Anbieter,690.000 €
Köfering (Köfering),143.62 m²,5 Zi.,149.99 m² Grundstück,"Stil trifft Wohnqualität auf 192 m² Wohnnutzfläche - Reihenhaus mit großer, sonniger Dachterrasse!",Immo4plus GbR,578.550 €
Mamming (Mamming),170 m²,5 Zi.,592 m² Grundstück,** Großzügiges &amp; familienfreundliches Einfamilienhaus mit sonnigem Wintergarten! **,Immobilien Hofmann GmbH &amp; Co. KG,442.500 €
"Leiblfingerstr 1, Leiblfing (Schwimmbach)",470 m²,10 Zi.,3500 m² Grundstück,Sauna &amp; Wellness Landschaft plus Ferienhaus und Schwimmteich (auch privat nutzbar) Ferienhaus ist stets ausgebucht und kann evtl. FK abdecken.,Privater Anbieter,1.500.000 €
München (Untergiesing-Harlaching),650 m²,22 Zi.,450 m² Grundstück,. MIETSHAUS MIT GEWERBEEINHEIT IN GIESING .,BF Bayerische Baufinanz GmbH,1 €
Windsbach (Windsbach),216 m²,13 Zi.,863 m² Grundstück,Einfamilien-/ Zweifamilienhaus in Windsbach zu verkaufen ,Privater Anbieter,659.000 €
München (Trudering-Riem),130 m²,5 Zi.,261 m² Grundstück,Doppelhaushälfte mit großem Raumangebot nahe U/S-Bahn,Privater Anbieter,1.220.000 €
München (Aubing-Lochhausen-Langwied),120 m²,6 Zi.,550 m² Grundstück,Provisionsfrei für Käufer! Renovierungsbedürftiges Einfamilienhaus nahe Gräfelfing mit Baureserve,WINDISCH IMMOBILIEN,1.250.000 €
Oberottmarshausen,148 m²,5 Zi.,415 m² Grundstück,Familienfreundliche Doppelhaushälfte in Oberottmarshausen ,Gewerblicher Anbieter,585.000 €
"Kronwinkler Straße 51, München (Aubing-Lochhausen-Langwied)",175 m²,6 Zi.,260 m² Grundstück,"Endlich zu Hause. Reiheneckhaus in München-Aubing! Neubau, provisionsfrei",Gewerblicher Anbieter,1.850.000 €
Forchheim (Forchheim),162 m²,5 Zi.,1055 m² Grundstück,WINDISCH IMMOBILIEN - Energieeffizientes Einfamilienhaus auf großem Grundstück zentral in Forchheim!,WINDISCH IMMOBILIEN,930.000 €
München (Aubing-Lochhausen-Langwied),124 m²,6 Zi.,197 m² Grundstück,. EINE UMGEBUNG DIE GLÜCKLICH MACHT  . REIHENECKHAUS . NEUBAU . WESTLAGE .,BF Bayerische Baufinanz GmbH,1.050.000 €
Nürnberg (Reichelsdorf),188 m²,,780 m² Grundstück,Schönes Grundstück bebaut mit einem 3-Familienhaus und Einfamilienhaus in guter Lage von Nürnberg-Reichelsdorf,Privater Anbieter,790.000 €
Neuburg an der Donau (Neuburg),380 m²,11.5 Zi.,682 m² Grundstück,Exquisite Immobilie - mit viel Platz für die große Familie!,Engel &amp; Völkers,1.490.000 €
"Deiselkühner Weg 10, Schwarzenfeld (Schwarzenfeld)",148 m²,6 Zi.,510 m² Grundstück,Attraktives Zweifamilienhaus in Schwarzenfeld - Vollvermietet ,Gewerblicher Anbieter,389.000 €
"Steingadener Straße 4, München (Untergiesing-Harlaching)",107 m²,5 Zi.,1063 m² Grundstück,Baugrundstück in Bestlage,Privater Anbieter,4.200.000 €
Teublitz (Teublitz),116 m²,,553 m² Grundstück,gepflegte ältere DHH mit Garten und Garage,IMMOBILIEN KOLLER,275.000 €
Landau an der Isar (Fichtheim),95 m²,7 Zi.,512 m² Grundstück,Einfamilienhaus mit Terrasse und Garten in Fichtheim,Privater Anbieter,260.000 €
Nürnberg (Werderau),175 m²,7 Zi.,392 m² Grundstück,PROVISIONSFREI: Charmantes REH mit viel Platz und Villencharakter,Privater Anbieter,599.000 €
Marktheidenfeld (Glasofen),270 m²,14 Zi.,681 m² Grundstück,Kapitalanlage oder Eigennutzung Großzügiges freistehendes Mehrfamilienhaus Martkheidenfeld OT Glasofen,Privater Anbieter,510.000 €
Vilsbiburg (Herrnfelden),137 m²,5 Zi.,157 m² Grundstück,Reihenmittelhaus in einer bevorzugten Wohngegend von Vilsbiburg,Gewerblicher Anbieter,399.000 €
