location,size,rooms,land_area,description,seller,price
Schorndorf (Schorndorf),141.46 m²,6 Zi.,583 m² Grundstück,Ein Haus zum Wachküssen,Riker Wohnbau + Immobilien GmbH,589.000 €
Wernau (Neckar),102 m²,4 Zi.,219 m² Grundstück,"Einfamilien-DHH mit Balkon, Terrasse und Garage in sonniger Wohnlage",Sandra Dobelmann Immobilien,489.000 €
Remchingen-Singen (Singen),125 m²,6 Zi.,450 m² Grundstück,*** HAUS SUCHT NEUE FAMILIE *** Solides Einfamilienhaus in Remchingen-Singen,Volksbank pur Immobilien GmbH &amp; Co. KG,460.000 €
Welzheim (Welzheim),201 m²,11 Zi.,175 m² Grundstück,KAPITALANLEGER aufgepasst ! - Hohe RENDITE,NAFI Immobilien GmbH &amp; Co. KG,225.000 €
Stuttgart (Nord),409 m²,14 Zi.,1579 m² Grundstück,Einzigartiges Anwesen in Bestlage,Stuttgart Immobilien Kontor GmbH -  ENGEL &amp; VÖLKERS Stuttgart,4.900.000 €
"Stockach , Baden (Zizenhausen)",280 m²,9 Zi.,668 m² Grundstück,Lebensraum für Generationen,TWE-Immobilien Thomas Erthle e. K.,629.000 €
Magstadt (Magstadt),110.74 m²,4 Zi.,188 m² Grundstück,Ihr neues Zuhause! Sehr schönes REH mit Gartenanteil und Dachterrasse!,Böblinger Baugesellschaft mbH,865.000 €
Bischweier,105 m²,4 Zi.,137 m² Grundstück,"Schlüsselfertig, ohne versteckte Kosten: Reihenhaus mit 4 Zimmern, Terrasse und Garten.",EPPLE GmbH,460.000 €
Bad Mergentheim (Neunkirchen),252 m²,6 Zi.,880 m² Grundstück,Exklusives Einfamilienhaus in ruhiger und sonniger Wohnlage mit Traumblick,Sparkasse Tauberfranken,995.000 €
Radolfzell am Bodensee (Stahringen),160.43 m²,5.5 Zi.,474 m² Grundstück,Modernes Einfamilienhaus in bester Ortsrandlage von Stahringen,KOSUB Immobilien e.K. Franchisenehmer Bodensee der Finest Properties Deutschland GmbH,849.000 €
Oberndorf (Oberndorf),290 m²,10 Zi.,4770 m² Grundstück,"Werkstatt, Tankstelle, Halle mit Parkdeck + 3 Wohnungen",LBS Immobilien GmbH / Sparkasse Meßkirch,1.450.000 €
"Im Waldfeld 29, Forchtenberg (Forchtenberg)",198 m²,5 Zi.,350 m² Grundstück,"Exklusive Doppelhaushälfte 198 qm bezugsfertig, Erstbezug",ohne-makler.net - Immobilien selbst vermarkten,725.000 €
Ilsfeld (Auenstein),232 m²,7 Zi.,820 m² Grundstück,WEITBLICK: Moderne Villa im Grünen!,Weitblick Immobilien GmbH,995.000 €
Ludwigsburg (West),127.79 m²,8 Zi.,207 m² Grundstück,WEITBLICK: Altbauromantik in Bestlage!,Weitblick Immobilien GmbH,649.000 €
Ostfildern (Nellingen),114 m²,6 Zi.,346 m² Grundstück,Einfamilienhaus in sonniger Lage - mit Photovoltaikanlage,Volksbank Plochingen eG,670.000 €
Engen (Welschingen),217 m²,7 Zi.,603 m² Grundstück,"DHH mit 2-3 Wohnungen, 4 Außen-Stellplätze, Balkon, Terrasse, Garten ***Engen Vorort***",ProMak Immobilien Vermittlungs GmbH,498.900 €
Laichingen (Machtolsheim),215 m²,10 Zi.,859 m² Grundstück,MEHRFAMILIENHAUS MIT TOLLER ANBINDUNG IN LAICHINGEN/MACHTOLSHEIM,Hirn Immobilien GmbH,475.000 €
Schwendi (Schönebürg),75.28 m²,5 Zi.,222 m² Grundstück,Bezahlbarer Wohnraum! Doppelhaushälfte in idyllischer Wohnlage in Schönebürg,Scheffold Immobilien GmbH,129.900 €
Vilingen-Schwenningen (Villingen),190 m²,6 Zi.,683 m² Grundstück,Attraktiver Winkelbungalow,Hornstein &amp; Werner Immobilien GmbH,430.000 €
Dielheim-Balzfeld (Balzfeld),186 m²,5.5 Zi.,386 m² Grundstück,Eindrucksvoll bis in's Detail,Wohnimmobilien Rhein Neckar Odenwald Koch GmbH &amp; Co KG,1.095.000 €
Bad Urach (Bad Urach),93 m²,6 Zi.,285 m² Grundstück,Verwirklichen Sie Ihren Traum von den eigenen vier Wänden!  Ideal für eine Familie!,Volksbank Ermstal-Alb eG,329.900 €
Albstadt (Ebingen),180 m²,8 Zi.,773 m² Grundstück,Saniertes Generationenhaus mit viel Platz und neuer PV-Anlage!,Erik Kirsten Immobilien e. K.,499.000 €
Albstadt (Tailfingen),100 m²,4.5 Zi.,210 m² Grundstück,"Charmante Doppelhaushälfte mit großer Terrasse, Garten und Garage!",Erik Kirsten Immobilien e. K.,249.000 €
Giengen an der Brenz (Hohenmemmingen),196 m²,6.5 Zi.,329 m² Grundstück,"Wohntraum für alle, die sofort einziehen wollen!",Immovenda Immobilien,479.000 €
Schwarzach (Unterschwarzach),141 m²,5 Zi.,609 m² Grundstück,Gemütliches Einfamilienhaus in ruhiger Lage von Schwarzach,Debeka Bausparkasse AG,295.000 €
Engstingen (Kohlstetten),120 m²,7 Zi.,580 m² Grundstück,Ruhiges Wohnen am Ortsrand!,Volksbank Ermstal-Alb eG,364.900 €
Balingen (Balingen),170 m²,7 Zi.,911 m² Grundstück,"In Toplage von Balingen, gepflegtes Einfamilienhaus mit fantastischer Aussicht!",Erik Kirsten Immobilien e. K.,649.000 €
Neulingen-Bauschlott (Bauschlott),150 m²,7 Zi.,289 m² Grundstück,"Doppelhaushälfte, 150 m², 7 Zimmer - perfekt für Ihre Familie",ProMak Immobilien Vermittlungs GmbH,598.500 €
Edingen-Neckarhausen (Edingen),168 m²,6 Zi.,286 m² Grundstück,Freistehendes 3 Familienhaus auf Eckgrundstück - energetisch saniert und gepflegt.,Immoztion Immobilien,598.000 €
Lauterbach,150 m²,3 Zi.,4743 m² Grundstück,LiEBE &amp; ROMANTiK _ JAGD Residenz -in heilklimatischer Lage | Anno 1768-,achtersson Immobilien,1.700.000 €
Schwäbisch Gmünd (Rehnenhof/Wetzgau),104.76 m²,5 Zi.,179 m² Grundstück,Reihenmittelhaus Schwäbisch Gmünd - Wetzgau,GAMUNDIA Immobilien GmbH &amp; Co KG,349.000 €
Leonberg (Silberberg),172 m²,7.5 Zi.,2000 m² Grundstück,Sensationelles Anwesen in traumhafter Lage!,Bannasch Immobilien,1.580.000 €
Volkertshausen,145 m²,5 Zi.,535 m² Grundstück,NEU+PROVISIONSFREI: Modernes Niederenergiehaus,IMMOBILIEN BODENSEE Bankfachwirt Gerhard Hammer und Team e.K,795.000 €
Remseck (Neckargröningen),192 m²,8 Zi.,454 m² Grundstück,WEITBLICK: Wohntraum in bester Lage!,Weitblick Immobilien GmbH,749.000 €
Remseck am Neckar (Neckarrems),184 m²,6 Zi.,585 m² Grundstück,Zweifamilienhaus in Remseck am Neckar mit großem Garten und Doppelgarage wartet auf Sie!,Bannasch Immobilien,694.000 €
Simmozheim,103.2 m²,3.5 Zi.,188 m² Grundstück,"***Streichen und einziehen: kleines, kuscheliges Häuschen für Liebhaber in Simmozheim***",ProMak Immobilien Vermittlungs GmbH,375.000 €
Jestetten (Jestetten),140 m²,4.5 Zi.,265 m² Grundstück,+++ AVERNET - DOPPELHAUSHÄLFTE MIT GARTEN UND CARPORT +++,AVERNET IMMOBILIEN OHG,495.000 €
Reichenbach an der Fils,386 m²,7 Zi.,1513 m² Grundstück,Exklusives EFH mit Einliegerwohnung und 2 Doppelgaragen,Michael Abendthum Immobilien,1.700.000 €
Heidenheim an der Brenz (Innenstadt),190 m²,6 Zi.,645 m² Grundstück,"Saniertes und gemütliches Reiheneckhaus im Bungalow-Stil in sehr ruhiger, sonniger Lage",TWE-Immobilien Thomas Erthle e. K.,595.000 €
Wiesloch (Baiertal),304 m²,10 Zi.,964 m² Grundstück,Ein Platzwunder...nicht nur für eine sondern auch für mehrere Generationen!,RE/MAX Real Estate Center,850.000 €
Bad Bellingen (Rheinweiler),222 m²,8 Zi.,338 m² Grundstück,Optimale Grundstücksausnutzung in Rheinweiler ! Durchdachtes Wohnhaus zur Eigennutzung und/oder Vermietung ! ,Immo Hyp 3Ländereck,475.000 €
Aldingen (Aixheim),227 m²,10 Zi.,765 m² Grundstück,**zwei verbundene DHH mit insgesamt 227 qm Wfl. in Aldingen** **,ProMak Immobilien Vermittlungs GmbH,498.500 €
Baden-Baden / Varnhalt (Varnhalt),225 m²,10 Zi.,796 m² Grundstück,Großzügiges Haus mit zwei Wohneinheiten und traumhafter Sonnenterrasse,Schürrer - Fleischer Immobilien GmbH &amp; Co. KG,545.000 €
Schiltach (Schiltach),562 m²,22 Zi.,2400 m² Grundstück,Provisionsfreies Angebot! Lukratives Investment oder gemütliches Eigenheim?Sie entscheiden!,Wüstenrot Immobilien,300.000 €
Bietigheim-Bissingen / Untermberg (Untermberg),200 m²,8 Zi.,298 m² Grundstück,WEITBLICK: Wohnen unter dem Schloß!,Weitblick Immobilien GmbH,649.000 €
Giengen an der Brenz (Giengen),159 m²,6 Zi.,382 m² Grundstück,Ihr großes Reihenendhaus in familienfreundlicher Gegend,Michael Abendthum Immobilien,395.000 €
Heimsheim,187 m²,9 Zi.,654 m² Grundstück,Schnittiges Einfamilienhaus mit toller Einliegerwohnung  sehnt sich nach neuem Besitzer!,Bannasch Immobilien,625.000 €
Bretten (Dürrenbüchig),230.34 m²,8 Zi.,1029 m² Grundstück,Freies Mehrgenerationenhaus mit Einliegerwohnung in Bretten-Dürrenbüchig,ProMak Immobilien Vermittlungs GmbH,749.500 €
Breisach am Rhein (Oberrimsingen),302 m²,9 Zi.,702 m² Grundstück,Saniertes 3-Familienhaus mit Scheune und Ausbaupotential in Oberrimsingen,Charlotte Huhn Immobilien,995.000 €
Eberdingen / Hochdorf (Hochdorf),103 m²,4.5 Zi.,600 m² Grundstück,"WEITBLICK: Groß im Grünen, mit Ausbaupotential!",Weitblick Immobilien GmbH,598.000 €
Donaueschingen / Aasen (Aasen),145 m²,5.5 Zi.,170 m² Grundstück,Neubauhäuser in ländlicher Region I In Aasen entstehen insgesamt 12 Wohneinheiten,Werner Wohnbau GmbH &amp;Co.KG,389.900 €
Bräunlingen (Bräunlingen),135 m²,5.5 Zi.,262 m² Grundstück,Neubauhäuser in Toplage I In Bräunlingen entstehen insgesamt 9 Wohneinheiten,Werner Wohnbau GmbH &amp;Co.KG,429.900 €
"Bachstraße 10, Berg / Weiler (Weiler)",141 m²,5.5 Zi.,182 m² Grundstück,Energieeffizient Wohnen! In Berg-Weiler entstehen Reihenhäuser mit 141m² Wohnfläche,Werner Wohnbau GmbH &amp;Co.KG,517.900 €
Tamm,101 m²,4.5 Zi.,203 m² Grundstück,WEITBLICK: Happy Family!,Weitblick Immobilien GmbH,485.000 €
Stuttgart (Stammheim),300.95 m²,13 Zi.,368 m² Grundstück,3-FAMILIENHAUS + ELW in familienfreundlicher Lage von Stuttgart-Stammheim!,ProMak Immobilien Vermittlungs GmbH,1.290.000 €
Mühlhausen-Ehingen (Mühlhausen),260.96 m²,10 Zi.,1022 m² Grundstück,"NEU+REDUZIERT: Tolles 3 FH - m² Schnitt=2.303 EUR, Garten-IDYLLE neben Bachlauf",IMMOBILIEN BODENSEE Bankfachwirt Gerhard Hammer und Team e.K,599.000 €
"Wittumgarten 1/6, Herrenberg-Kuppingen (Kuppingen)",140 m²,6.5 Zi.,1456 m² Grundstück,Familientraum im Eigenheim: SOFORT BEZIEHBAR!,mi Casa GmbH,677.500 €
Weil der Stadt (Weil der Stadt),136 m²,5 Zi.,198 m² Grundstück,Reihenmittelhaus in Split-Level- Bauweise sucht Familienglück!,Bannasch Immobilien,495.000 €
Hohentengen b Bad Saulgau (Ortsbereich),170 m²,4 Zi.,720 m² Grundstück,"Grundsaniertes Bauernhaus mit Potenzial für Handwerker, Großfamilie und Generationen-Wohnen",TWE-Immobilien Thomas Erthle e. K.,298.900 €
Eigeltingen-Heudorf (Heudorf),368 m²,9.5 Zi.,2954 m² Grundstück,Ihr Anwesen mit 2.954 qm Grundstück drei Wohnungen + im Ortsteil von Eigeltingen,ProMak Immobilien Vermittlungs GmbH,799.500 €
Sipplingen,396.5 m²,8 Zi.,554 m² Grundstück,MEDITERRANE  VILLA MIT 3 WOHNEINHEITEN UND SEEBLICK IN SIPPLINGEN / BODENSEE,N.L.immobilien GmbH,3.330.600 €
Mainhardt (Mainhardt),249 m²,10 Zi.,467 m² Grundstück,** 3 Wohneinheiten in Mainhardt: wohnen + vermieten **,ProMak Immobilien Vermittlungs GmbH,480.000 €
Winterlingen (Winterlingen),69.19 m²,4 Zi.,61 m² Grundstück,Ferienhaus in herrlicher Landschaft ...  der schwäbischen Alb und Naturpark Obere Donau,BIV GmbH Immobilienhaus für Baden-Württemberg seit 1977,149.000 €
Walldürn (Rippberg),299.11 m²,11 Zi.,1800 m² Grundstück,Walldürn-Rippberg - sehr gepflegtes Wohnhaus in Ortsrandlage,Immobilien Friedericke Fertig,525.000 €
Waghäusel (Kirrlach),143.52 m²,4 Zi.,609 m² Grundstück,Sofort bezugfreies Einfamilienhaus,Sylvia Ams Immobilien + Vermietungen,395.000 €
Weissach im Tal (Unterweissach),162 m²,6 Zi.,116 m² Grundstück,Zur Fuchsklinge,Wüstenrot Haus- und Städtebau GmbH,646.000 €
Weissach im Tal (Unterweissach),162 m²,5 Zi.,116 m² Grundstück,Zur Fuchsklinge,Wüstenrot Haus- und Städtebau GmbH,646.000 €
Mühlacker (Mühlacker),165 m²,6 Zi.,1652 m² Grundstück,Haus mit Weitblick und großem Grundstück in ruhiger Lage,GGH Immobilien UG (haftungsbeschränkt),650.000 €
"Stellestr. 11, Dettenhausen",177 m²,8 Zi.,678 m² Grundstück,Freistehendes EFH in Dettenhausen - offene Besichtigung am Samstag 15.04.2023 von 11 - 15 Uhr ,Beck&amp;Eissler Immobilien GbR,498.000 €
"Wiesenstraße 3, Immendingen (Hattingen)",302 m²,13 Zi.,522 m² Grundstück,1-Fam.-Haus als Generationenhaus oder Renditeobjekt in Immendingen-Hattingen,MHI Michael Hauser Immobilien,499.000 €
Zaberfeld (Leonbronn),129 m²,4 Zi.,185 m² Grundstück,Modernisiertes Reihenendhaus mit überdachter Süd-Terrasse in Leonbronn,GGH Immobilien UG (haftungsbeschränkt),369.000 €
